tipo_celular,module_size,FBXL3_MM,FBXL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.214,80.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14)
T cells 18,518,0.084,6.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35)
astrocytes 5,1656,0.141,87.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,50,14.16,2.61 (2.19-3.04),303,85.84,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,1069,0.081,5.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637,0.171,56.0,91,9,9.89,0.97 (0.26-1.69),82,90.11,5.09 (4.64-5.54)
da like neurons 11,101,0.082,7.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,86,0.162,43.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,303,0.124,32.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,271,0.165,47.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052,0.148,58.0,125,7,5.6,3.54 (2.91-4.17),118,94.4,3.34 (3.01-3.68)
astrocytes 8,218,0.098,50.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.107,81.0,276,40,14.49,2.92 (2.50-3.34),236,85.51,3.67 (3.43-3.92)
oligodendrocytes 10,1277,0.052,12.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,125,0.288,46.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401,0.035,6.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,81,0.156,22.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,553,0.064,3.0,124,11,8.87,3.56 (2.44-4.68),113,91.13,4.24 (3.83-4.66)
astrocytes microglia 23,110,0.273,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.175,95.0,104,29,27.88,2.26 (1.85-2.68),75,72.12,3.11 (2.77-3.45)
oligodendrocytes 0,613,0.17,73.0,127,6,4.72,2.39 (1.48-3.30),121,95.28,3.09 (2.66-3.53)
microglia 1,1615,0.135,81.0,161,45,27.95,2.52 (2.06-2.98),116,72.05,3.61 (3.31-3.92)
oligodendrocytes 3,743,0.137,90.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.172,92.0,200,5,2.5,3.32 (2.24-4.41),195,97.5,3.63 (3.36-3.90)
