tipo_celular,module_size,PSIP1_MM,PSIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.154,37.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49)
T cells 18,518,0.187,70.0,131,10,7.63,3.44 (2.82-4.06),121,92.37,3.04 (2.74-3.33)
astrocytes 5,1656,0.125,66.0,136,9,6.62,2.12 (1.46-2.78),127,93.38,3.30 (3.01-3.58)
oligodendrocyte progenitor cells 7,4285,0.125,33.0,353,73,20.68,2.38 (2.11-2.66),280,79.32,4.42 (4.24-4.61)
GABA neurons expressing GLU receptors 22,848,0.19,42.0,262,13,4.96,2.23 (1.29-3.17),249,95.04,4.28 (4.03-4.52)
GLU like neurons 17,1316,0.128,54.0,101,2,1.98,2.84 (2.81-2.86),99,98.02,3.06 (2.70-3.42)
da like neurons 11,94,0.157,38.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265,0.173,59.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,338,0.063,6.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,358,0.223,79.0,31,4,12.9,3.29 (2.72-3.86),27,87.1,2.25 (1.79-2.72)
GABA like neurons 14,3052,0.22,97.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.088,36.0,288,5,1.74,2.55 (1.56-3.54),283,98.26,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,3303,0.095,69.0,276,53,19.2,2.22 (1.97-2.47),223,80.8,3.97 (3.72-4.21)
oligodendrocytes 10,735,0.112,59.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,102,0.331,77.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,1768,0.083,48.0,105,28,26.67,2.20 (1.77-2.64),77,73.33,3.62 (3.22-4.02)
oligodendrocytes 16,82,0.149,14.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,300,0.113,30.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,39,0.374,53.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807,0.165,86.0,104,28,26.92,1.99 (1.56-2.42),76,73.08,3.22 (2.90-3.54)
oligodendrocytes 0,613,0.147,55.0,127,25,19.69,2.74 (2.22-3.26),102,80.31,3.17 (2.63-3.70)
microglia 1,1615,0.129,75.0,161,58,36.02,2.16 (1.88-2.45),103,63.98,4.11 (3.81-4.42)
oligodendrocytes 3,743,0.085,56.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.156,80.0,200,16,8.0,3.27 (2.65-3.90),184,92.0,3.65 (3.37-3.94)
