tipo_celular,module_size,CCDC88A_MM,CCDC88A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.166,22.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,349,0.394,88.0,68,34,50.0,4.07 (3.43-4.71),34,50.0,4.78 (3.81-5.75)
astrocytes 5,118,0.183,19.0,8,1,12.5,5.98 (NA-NA),7,87.5,3.92 (1.97-5.87)
oligodendrocyte progenitor cells 7,666,0.054,2.0,127,35,27.56,3.70 (3.16-4.25),92,72.44,3.92 (3.49-4.35)
GABA neurons expressing GLU receptors 22,192,0.268,86.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247,0.247,94.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,102,0.349,76.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA
GABA neurons expressing GABA receptors 13,288,0.267,79.0,93,41,44.09,4.39 (3.79-5.00),52,55.91,6.01 (5.31-6.72)
endothelial cells 9,450,0.325,71.0,74,23,31.08,5.36 (4.72-5.99),51,68.92,5.55 (4.68-6.42)
oligodendrocytes 20,295,0.11,19.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300,0.183,38.0,306,78,25.49,4.13 (3.69-4.56),228,74.51,5.61 (5.32-5.91)
astrocytes 8,279,0.195,18.0,78,24,30.77,3.26 (2.65-3.86),54,69.23,4.80 (4.32-5.27)
oligodendrocyte progenitor cells 12,708,0.124,56.0,25,5,20.0,3.19 (0.82-5.57),20,80.0,2.79 (1.69-3.89)
oligodendrocytes 10,204,0.236,15.0,92,3,3.26,2.53 (2.34-2.73),89,96.74,5.82 (5.36-6.28)
connective tissue cells 21,250,0.263,37.0,117,34,29.06,4.10 (3.57-4.62),83,70.94,6.14 (5.70-6.58)
astrocytes 15,208,0.48,87.0,4,2,50.0,4.20 (2.94-5.47),2,50.0,0.95 (NA-NA)
oligodendrocytes 16,287,0.133,9.0,105,43,40.95,4.18 (3.58-4.77),62,59.05,6.14 (5.68-6.61)
da neurons 6,398,0.261,82.0,138,47,34.06,3.74 (3.24-4.23),91,65.94,5.48 (5.03-5.93)
astrocytes microglia 23,127,0.148,2.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,220,0.083,5.0,63,19,30.16,4.41 (3.61-5.22),44,69.84,5.60 (4.87-6.32)
oligodendrocytes 0,479,0.142,42.0,40,14,35.0,5.59 (4.73-6.46),26,65.0,6.02 (5.37-6.67)
microglia 1,315,0.082,8.0,144,24,16.67,4.44 (3.80-5.07),120,83.33,4.46 (4.12-4.81)
oligodendrocytes 3,357,0.376,100.0,127,2,1.57,5.93 (4.48-7.38),125,98.43,3.06 (2.74-3.39)
oligodendrocytes 2,237,0.271,72.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
