tipo_celular,module_size,AFF4_MM,AFF4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.142,29.0,102,16,15.69,1.79 (1.36-2.21),86,84.31,3.81 (3.43-4.20)
T cells 18,518,0.168,59.0,131,2,1.53,2.14 (1.94-2.34),129,98.47,3.09 (2.81-3.37)
astrocytes 5,423,0.264,91.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.226,81.0,127,3,2.36,0.90 (0.75-1.04),124,97.64,3.94 (3.61-4.27)
GABA neurons expressing GLU receptors 22,599,0.218,55.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247,0.158,67.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,71,0.287,59.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200,0.156,51.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,412,0.24,74.0,141,4,2.84,1.25 (0.55-1.95),137,97.16,3.02 (2.78-3.26)
oligodendrocytes 20,330,0.097,20.0,36,11,30.56,1.94 (1.67-2.21),25,69.44,1.91 (1.41-2.41)
GABA like neurons 14,1300,0.167,30.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45)
astrocytes 8,577,0.187,90.0,83,2,2.41,1.36 (0.40-2.32),81,97.59,3.31 (2.86-3.76)
oligodendrocyte progenitor cells 12,218,0.159,36.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,2107,0.101,29.0,358,35,9.78,1.57 (1.24-1.89),323,90.22,4.20 (4.02-4.38)
connective tissue cells 21,152,0.218,25.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,377,0.098,14.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,65,0.111,8.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.087,24.0,122,6,4.92,0.73 (0.23-1.23),116,95.08,4.21 (3.84-4.59)
astrocytes microglia 23,327,0.373,68.0,120,9,7.5,1.14 (0.67-1.60),111,92.5,3.86 (3.58-4.14)
astrocytes 4,514,0.32,89.0,95,4,4.21,1.14 (0.66-1.61),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,1186,0.164,81.0,300,2,0.67,2.17 (1.91-2.43),298,99.33,3.81 (3.60-4.01)
microglia 1,480,0.241,72.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,357,0.112,63.0,127,1,0.79,4.40 (NA-NA),126,99.21,3.11 (2.77-3.44)
oligodendrocytes 2,804,0.143,41.0,84,4,4.76,0.91 (0.25-1.56),80,95.24,2.80 (2.47-3.14)
