tipo_celular,module_size,RPS9_MM,RPS9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.269,56.0,98,38,38.78,3.06 (2.48-3.64),60,61.22,3.33 (2.63-4.03)
T cells 18,506,0.509,94.0,225,42,18.67,3.05 (2.51-3.58),183,81.33,3.75 (3.48-4.03)
astrocytes 5,328,0.226,72.0,128,11,8.59,3.63 (3.12-4.14),117,91.41,3.56 (3.18-3.94)
oligodendrocyte progenitor cells 7,448,0.283,88.0,108,13,12.04,4.20 (3.33-5.07),95,87.96,3.11 (2.63-3.59)
GABA neurons expressing GLU receptors 22,487,0.164,26.0,73,21,28.77,3.35 (2.57-4.12),52,71.23,2.50 (2.08-2.92)
GLU like neurons 17,685,0.252,85.0,135,37,27.41,2.18 (1.76-2.61),98,72.59,3.56 (3.21-3.92)
da like neurons 11,1220,0.189,53.0,410,28,6.83,3.28 (2.72-3.85),382,93.17,4.32 (4.13-4.52)
GABA neurons expressing GABA receptors 13,417,0.103,10.0,213,50,23.47,2.60 (2.08-3.12),163,76.53,4.15 (3.91-4.39)
endothelial cells 9,916,0.536,94.0,302,21,6.95,3.69 (2.82-4.56),281,93.05,4.00 (3.77-4.24)
oligodendrocytes 20,938,0.189,76.0,169,33,19.53,3.38 (2.75-4.01),136,80.47,3.50 (3.27-3.73)
GABA like neurons 14,2402,0.431,83.0,455,51,11.21,2.54 (2.04-3.04),404,88.79,4.61 (4.43-4.79)
astrocytes 8,603,0.217,91.0,89,20,22.47,2.69 (2.07-3.30),69,77.53,2.79 (2.36-3.23)
oligodendrocyte progenitor cells 12,1049,0.406,96.0,235,26,11.06,3.81 (3.20-4.43),209,88.94,3.82 (3.57-4.07)
oligodendrocytes 10,483,0.532,98.0,129,21,16.28,4.12 (3.49-4.74),108,83.72,3.30 (2.85-3.74)
connective tissue cells 21,301,0.465,73.0,158,23,14.56,3.37 (2.61-4.13),135,85.44,4.46 (4.05-4.86)
astrocytes 15,1401,0.071,36.0,96,7,7.29,2.34 (1.17-3.51),89,92.71,3.70 (3.23-4.17)
oligodendrocytes 16,92,0.168,27.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.178,63.0,182,25,13.74,3.31 (2.58-4.04),157,86.26,3.69 (3.42-3.96)
astrocytes microglia 23,137,0.33,37.0,188,41,21.81,2.70 (2.18-3.22),147,78.19,4.99 (4.64-5.35)
astrocytes 4,208,0.153,26.0,173,15,8.67,4.06 (3.28-4.83),158,91.33,3.77 (3.45-4.09)
oligodendrocytes 0,546,0.313,91.0,252,51,20.24,2.60 (2.10-3.11),201,79.76,4.52 (4.27-4.76)
microglia 1,406,0.513,90.0,278,14,5.04,4.04 (3.26-4.83),264,94.96,4.38 (4.10-4.67)
oligodendrocytes 3,303,0.268,92.0,154,16,10.39,4.24 (3.44-5.04),138,89.61,3.55 (3.21-3.89)
oligodendrocytes 2,526,0.456,89.0,213,12,5.63,4.12 (3.23-5.01),201,94.37,3.97 (3.68-4.26)
