tipo_celular,module_size,ACADVL_MM,ACADVL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.333,92.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,282,0.135,18.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,328,0.138,32.0,128,2,1.56,3.18 (2.04-4.33),126,98.44,3.58 (3.23-3.92)
oligodendrocyte progenitor cells 7,200,0.129,27.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,1069,0.154,42.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,685,0.13,49.0,135,16,11.85,1.62 (1.18-2.06),119,88.15,3.45 (3.12-3.77)
da like neurons 11,853,0.227,89.0,133,23,17.29,1.74 (1.30-2.18),110,82.71,3.64 (3.31-3.97)
GABA neurons expressing GABA receptors 13,73,0.144,35.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,916,0.148,31.0,302,11,3.64,2.34 (1.67-3.02),291,96.36,4.07 (3.84-4.30)
oligodendrocytes 20,275,0.119,19.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.198,91.0,125,1,0.8,8.28 (NA-NA),124,99.2,3.30 (2.99-3.61)
astrocytes 8,603,0.204,90.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,143,0.032,4.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,735,0.127,67.0,277,3,1.08,3.67 (2.87-4.47),274,98.92,3.90 (3.65-4.14)
connective tissue cells 21,136,0.326,66.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,443,0.175,67.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,82,0.263,78.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.157,66.0,235,27,11.49,2.98 (2.36-3.60),208,88.51,4.13 (3.86-4.39)
astrocytes microglia 23,190,0.232,26.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,208,0.199,51.0,173,3,1.73,3.18 (2.04-4.33),170,98.27,3.81 (3.50-4.11)
oligodendrocytes 0,546,0.105,13.0,252,27,10.71,1.83 (1.39-2.28),225,89.29,4.47 (4.23-4.70)
microglia 1,406,0.058,1.0,278,1,0.36,3.77 (NA-NA),277,99.64,4.36 (4.09-4.64)
oligodendrocytes 3,303,0.102,33.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.252,48.0,213,5,2.35,3.09 (2.29-3.89),208,97.65,4.01 (3.73-4.29)
