tipo_celular,module_size,HADHB_MM,HADHB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.128,30.0,71,3,4.23,1.70 (0.02-3.38),68,95.77,2.67 (2.25-3.09)
T cells 18,610,0.123,27.0,98,19,19.39,1.51 (1.02-2.01),79,80.61,3.56 (3.25-3.87)
astrocytes 5,423,0.125,32.0,80,3,3.75,4.78 (4.78-4.78),77,96.25,3.34 (2.85-3.83)
oligodendrocyte progenitor cells 7,4285,0.133,47.0,353,33,9.35,1.92 (1.41-2.44),320,90.65,4.16 (3.99-4.34)
GABA neurons expressing GLU receptors 22,599,0.278,79.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.178,87.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43)
da like neurons 11,61,0.126,22.0,3,2,66.67,NA,1,33.33,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.143,36.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,338,0.054,2.0,191,1,0.52,4.99 (NA-NA),190,99.48,3.88 (3.65-4.10)
oligodendrocytes 20,938,0.123,49.0,169,14,8.28,2.31 (1.73-2.90),155,91.72,3.61 (3.39-3.84)
GABA like neurons 14,2090,0.103,15.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577,0.132,75.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303,0.121,90.0,276,21,7.61,2.20 (1.52-2.89),255,92.39,3.69 (3.47-3.91)
oligodendrocytes 10,1277,0.055,15.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111,0.286,47.0,10,0,0.0,NA,10,100.0,2.44 (1.89-3.00)
astrocytes 15,1401,0.098,61.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,84,0.236,82.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,409,0.116,46.0,235,32,13.62,3.25 (2.65-3.85),203,86.38,4.10 (3.83-4.37)
astrocytes microglia 23,255,0.163,4.0,57,1,1.75,2.68 (NA-NA),56,98.25,2.65 (2.28-3.02)
astrocytes 4,514,0.192,56.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74)
oligodendrocytes 0,613,0.13,37.0,127,1,0.79,1.71 (NA-NA),126,99.21,3.07 (2.65-3.49)
microglia 1,958,0.099,30.0,290,3,1.03,2.12 (1.04-3.20),287,98.97,3.84 (3.61-4.07)
oligodendrocytes 3,44,0.037,5.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,528,0.17,29.0,175,3,1.71,2.63 (1.23-4.04),172,98.29,4.42 (4.07-4.78)
