tipo_celular,module_size,GRSF1_MM,GRSF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.293,88.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35)
T cells 18,282,0.086,15.0,241,3,1.24,1.82 (NA-NA),238,98.76,4.07 (3.82-4.32)
astrocytes 5,1656,0.143,90.0,136,9,6.62,1.93 (1.48-2.38),127,93.38,3.31 (3.03-3.59)
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,56,15.86,2.09 (1.76-2.42),297,84.14,4.34 (4.16-4.51)
GABA neurons expressing GLU receptors 22,567,0.096,9.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,795,0.086,21.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,1220,0.187,52.0,410,9,2.2,2.48 (1.57-3.39),401,97.8,4.30 (4.11-4.48)
GABA neurons expressing GABA receptors 13,93,0.188,74.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,338,0.126,46.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,403,0.109,45.0,18,12,66.67,1.36 (0.69-2.02),6,33.33,2.92 (1.69-4.15)
GABA like neurons 14,3052,0.121,34.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,520,0.134,57.0,288,8,2.78,2.75 (1.70-3.80),280,97.22,4.23 (4.02-4.43)
oligodendrocyte progenitor cells 12,3303,0.068,36.0,276,49,17.75,2.19 (1.87-2.50),227,82.25,3.93 (3.70-4.17)
oligodendrocytes 10,806,0.188,60.0,261,1,0.38,1.82 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,86,0.319,75.0,7,2,28.57,3.30 (2.61-3.99),5,71.43,3.16 (2.11-4.22)
astrocytes 15,1768,0.116,76.0,105,26,24.76,2.05 (1.52-2.58),79,75.24,3.59 (3.22-3.96)
oligodendrocytes 16,75,0.292,94.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,300,0.098,18.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,39,0.456,87.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807,0.159,76.0,104,29,27.88,1.83 (1.48-2.18),75,72.12,3.31 (2.99-3.63)
oligodendrocytes 0,2078,0.124,71.0,238,15,6.3,3.10 (2.36-3.84),223,93.7,3.68 (3.45-3.91)
microglia 1,214,0.069,1.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,457,0.056,12.0,345,2,0.58,3.65 (2.80-4.50),343,99.42,4.28 (4.07-4.49)
oligodendrocytes 2,1630,0.17,94.0,154,3,1.95,2.55 (1.80-3.30),151,98.05,3.26 (2.99-3.53)
