tipo_celular,module_size,CLTC_MM,CLTC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.181,62.0,32,5,15.62,4.31 (3.26-5.37),27,84.38,3.59 (2.67-4.51)
T cells 18,282,0.325,91.0,241,12,4.98,4.46 (3.68-5.25),229,95.02,4.02 (3.76-4.29)
astrocytes 5,228,0.232,74.0,266,72,27.07,3.40 (3.03-3.77),194,72.93,4.45 (4.21-4.68)
oligodendrocyte progenitor cells 7,296,0.243,75.0,251,21,8.37,4.97 (4.42-5.52),230,91.63,3.97 (3.72-4.22)
GABA neurons expressing GLU receptors 22,848,0.264,68.0,262,56,21.37,3.65 (3.23-4.08),206,78.63,4.32 (4.03-4.61)
GLU like neurons 17,229,0.155,26.0,22,6,27.27,4.06 (4.04-4.08),16,72.73,1.94 (1.31-2.57)
da like neurons 11,1220,0.265,74.0,410,57,13.9,3.69 (3.31-4.06),353,86.1,4.36 (4.15-4.57)
GABA neurons expressing GABA receptors 13,357,0.466,99.0,237,8,3.38,3.96 (3.49-4.43),229,96.62,4.43 (4.19-4.67)
endothelial cells 9,338,0.176,67.0,191,19,9.95,3.91 (3.46-4.35),172,90.05,3.88 (3.63-4.13)
oligodendrocytes 20,279,0.071,9.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96)
GABA like neurons 14,2402,0.206,43.0,455,76,16.7,3.19 (2.83-3.56),379,83.3,4.64 (4.44-4.84)
astrocytes 8,520,0.346,91.0,288,77,26.74,3.99 (3.64-4.35),211,73.26,4.24 (4.00-4.48)
oligodendrocyte progenitor cells 12,3303,0.146,98.0,276,45,16.3,2.65 (2.23-3.06),231,83.7,3.78 (3.54-4.02)
oligodendrocytes 10,806,0.317,82.0,261,49,18.77,4.14 (3.71-4.57),212,81.23,4.43 (4.14-4.71)
connective tissue cells 21,104,0.223,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443,0.118,25.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.376,85.0,291,50,17.18,3.75 (3.41-4.10),241,82.82,4.48 (4.22-4.75)
da neurons 6,300,0.419,98.0,159,16,10.06,4.83 (4.30-5.35),143,89.94,4.30 (3.96-4.64)
astrocytes microglia 23,137,0.195,5.0,188,32,17.02,2.92 (2.33-3.51),156,82.98,4.79 (4.42-5.16)
astrocytes 4,157,0.162,37.0,178,49,27.53,3.32 (2.86-3.78),129,72.47,4.54 (4.24-4.84)
oligodendrocytes 0,116,0.128,34.0,169,10,5.92,4.33 (3.59-5.07),159,94.08,4.27 (3.96-4.59)
microglia 1,214,0.149,37.0,227,28,12.33,4.07 (3.66-4.49),199,87.67,4.09 (3.83-4.36)
oligodendrocytes 3,457,0.186,76.0,345,73,21.16,3.91 (3.59-4.23),272,78.84,4.40 (4.14-4.65)
oligodendrocytes 2,528,0.205,53.0,175,36,20.57,3.88 (3.41-4.35),139,79.43,4.55 (4.11-4.98)
