tipo_celular,module_size,PSMB7_MM,PSMB7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.113,18.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,477,0.09,6.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.113,45.0,136,2,1.47,2.73 (1.22-4.24),134,98.53,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285,0.115,22.0,353,37,10.48,2.21 (1.77-2.65),316,89.52,4.15 (3.96-4.33)
GABA neurons expressing GLU receptors 22,848,0.175,35.0,262,27,10.31,3.05 (2.49-3.60),235,89.69,4.29 (4.03-4.55)
GLU like neurons 17,1316,0.169,83.0,101,2,1.98,3.29 (1.80-4.78),99,98.02,3.05 (2.69-3.40)
da like neurons 11,145,0.151,29.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,417,0.164,52.0,213,35,16.43,2.39 (1.86-2.91),178,83.57,4.08 (3.83-4.33)
endothelial cells 9,916,0.191,45.0,302,16,5.3,3.15 (2.21-4.08),286,94.7,4.01 (3.78-4.24)
oligodendrocytes 20,938,0.191,77.0,169,22,13.02,3.05 (2.46-3.64),147,86.98,3.54 (3.30-3.77)
GABA like neurons 14,2402,0.234,52.0,455,45,9.89,2.47 (2.03-2.90),410,90.11,4.59 (4.40-4.77)
astrocytes 8,603,0.083,55.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,3303,0.133,95.0,276,28,10.14,2.60 (2.17-3.03),248,89.86,3.69 (3.45-3.92)
oligodendrocytes 10,735,0.134,70.0,277,8,2.89,4.03 (3.69-4.37),269,97.11,3.89 (3.65-4.14)
connective tissue cells 21,142,0.323,51.0,55,6,10.91,1.61 (0.20-3.02),49,89.09,3.81 (2.90-4.72)
astrocytes 15,377,0.032,3.0,14,6,42.86,1.37 (0.15-2.58),8,57.14,2.90 (0.82-4.99)
oligodendrocytes 16,122,0.241,76.0,11,0,0.0,NA,11,100.0,3.57 (3.08-4.06)
da neurons 6,729,0.167,59.0,182,1,0.55,NA,181,99.45,3.64 (3.38-3.89)
astrocytes microglia 23,86,0.219,5.0,1,1,100.0,1.71 (NA-NA),0,0.0,NA
astrocytes 4,1807,0.141,43.0,104,25,24.04,2.15 (1.68-2.62),79,75.96,3.10 (2.78-3.42)
oligodendrocytes 0,2078,0.076,3.0,238,4,1.68,2.46 (0.89-4.02),234,98.32,3.66 (3.44-3.88)
microglia 1,813,0.077,7.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,743,0.068,29.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526,0.156,17.0,213,4,1.88,4.03 (3.69-4.37),209,98.12,3.98 (3.70-4.26)
