tipo_celular,module_size,UBE2D2_MM,UBE2D2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.182,34.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,624,0.093,9.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932,0.101,39.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.131,43.0,353,50,14.16,2.50 (2.07-2.93),303,85.84,4.15 (3.96-4.34)
GABA neurons expressing GLU receptors 22,703,0.158,33.0,23,4,17.39,2.83 (1.50-4.16),19,82.61,1.93 (1.11-2.74)
GLU like neurons 17,300,0.177,39.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27)
da like neurons 11,108,0.325,84.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,77,0.141,31.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.068,6.0,297,14,4.71,4.11 (3.34-4.89),283,95.29,3.66 (3.45-3.87)
oligodendrocytes 20,938,0.151,62.0,169,24,14.2,3.41 (2.71-4.11),145,85.8,3.49 (3.26-3.72)
GABA like neurons 14,2090,0.155,51.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,727,0.109,50.0,29,1,3.45,3.17 (NA-NA),28,96.55,2.33 (1.82-2.84)
oligodendrocyte progenitor cells 12,3303,0.055,20.0,276,41,14.86,2.86 (2.43-3.29),235,85.14,3.67 (3.43-3.91)
oligodendrocytes 10,2107,0.123,40.0,358,54,15.08,2.59 (2.13-3.04),304,84.92,4.11 (3.92-4.31)
connective tissue cells 21,118,0.262,27.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,443,0.12,26.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09)
oligodendrocytes 16,156,0.142,8.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,729,0.121,33.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,255,0.263,54.0,57,7,12.28,3.87 (3.04-4.70),50,87.72,2.46 (2.09-2.83)
astrocytes 4,721,0.157,60.0,61,4,6.56,4.01 (3.74-4.29),57,93.44,2.89 (2.45-3.32)
oligodendrocytes 0,1186,0.11,9.0,300,3,1.0,NA,297,99.0,3.79 (3.59-4.00)
microglia 1,958,0.077,6.0,290,9,3.1,3.25 (2.40-4.09),281,96.9,3.82 (3.59-4.06)
oligodendrocytes 3,357,0.086,44.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,921,0.08,2.0,200,3,1.5,2.88 (1.96-3.80),197,98.5,3.64 (3.37-3.91)
