tipo_celular,module_size,ARIH1_MM,ARIH1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.16,35.0,102,37,36.27,2.67 (2.27-3.08),65,63.73,3.94 (3.46-4.43)
T cells 18,624,0.22,89.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,423,0.232,84.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666,0.162,47.0,127,13,10.24,2.14 (1.52-2.76),114,89.76,4.08 (3.74-4.42)
GABA neurons expressing GLU receptors 22,703,0.23,76.0,23,4,17.39,2.83 (1.50-4.16),19,82.61,1.93 (1.11-2.74)
GLU like neurons 17,1316,0.182,89.0,101,7,6.93,3.56 (2.61-4.50),94,93.07,3.03 (2.66-3.39)
da like neurons 11,204,0.352,97.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,266,0.162,54.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,412,0.214,65.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,330,0.15,41.0,36,10,27.78,2.31 (1.82-2.80),26,72.22,1.76 (1.32-2.20)
GABA like neurons 14,1300,0.228,60.0,306,16,5.23,2.17 (1.60-2.75),290,94.77,5.31 (5.05-5.56)
astrocytes 8,577,0.183,89.0,83,7,8.43,2.22 (1.54-2.89),76,91.57,3.35 (2.87-3.83)
oligodendrocyte progenitor cells 12,143,0.499,92.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,2107,0.187,65.0,358,68,18.99,2.60 (2.23-2.98),290,81.01,4.23 (4.03-4.43)
connective tissue cells 21,152,0.283,64.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,443,0.122,28.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09)
oligodendrocytes 16,81,0.177,28.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,448,0.158,86.0,43,1,2.33,3.17 (NA-NA),42,97.67,3.28 (2.75-3.82)
astrocytes microglia 23,253,0.186,15.0,47,5,10.64,2.24 (0.55-3.93),42,89.36,2.89 (2.56-3.23)
astrocytes 4,514,0.291,84.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,1186,0.178,92.0,300,3,1.0,3.70 (NA-NA),297,99.0,3.79 (3.59-4.00)
microglia 1,480,0.226,65.0,163,6,3.68,2.85 (1.81-3.90),157,96.32,3.74 (3.47-4.01)
oligodendrocytes 3,854,0.132,85.0,76,6,7.89,3.19 (1.54-4.84),70,92.11,2.75 (2.41-3.08)
oligodendrocytes 2,804,0.172,71.0,84,31,36.9,3.21 (2.67-3.76),53,63.1,2.39 (1.99-2.80)
