tipo_celular,module_size,TOM1_MM,TOM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.202,63.0,73,2,2.74,NA,71,97.26,3.56 (3.22-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.087,11.0,136,5,3.68,3.56 (2.63-4.50),131,96.32,3.20 (2.92-3.48)
oligodendrocyte progenitor cells 7,200.0,0.078,8.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,714.0,0.113,11.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,229.0,0.255,83.0,22,6,27.27,4.06 (4.04-4.08),16,72.73,1.94 (1.31-2.57)
da like neurons 11,168.0,0.077,12.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357.0,0.096,12.0,237,16,6.75,4.62 (3.94-5.30),221,93.25,4.39 (4.14-4.63)
endothelial cells 9,338.0,0.063,6.0,191,21,10.99,4.24 (3.58-4.90),170,89.01,3.84 (3.60-4.07)
oligodendrocytes 20,233.0,0.276,80.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402.0,0.132,19.0,455,63,13.85,3.40 (2.98-3.81),392,86.15,4.53 (4.33-4.73)
astrocytes 8,1266.0,0.046,10.0,66,15,22.73,1.84 (1.08-2.60),51,77.27,3.72 (3.31-4.13)
oligodendrocyte progenitor cells 12,708.0,0.058,21.0,32,15,46.88,2.09 (1.36-2.82),17,53.12,4.58 (3.40-5.76)
oligodendrocytes 10,806.0,0.049,8.0,261,34,13.03,3.48 (3.02-3.95),227,86.97,4.51 (4.24-4.77)
connective tissue cells 21,102.0,0.354,84.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,367.0,0.247,94.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,156.0,0.195,47.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,300.0,0.068,5.0,159,11,6.92,4.09 (3.67-4.51),148,93.08,4.38 (4.05-4.71)
astrocytes microglia 23,96.0,0.302,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.163,82.0,104,15,14.42,2.44 (1.54-3.34),89,85.58,2.92 (2.63-3.22)
oligodendrocytes 0,2078.0,0.073,2.0,238,20,8.4,3.85 (2.91-4.79),218,91.6,3.62 (3.39-3.85)
microglia 1,480.0,0.217,62.0,163,12,7.36,3.38 (2.52-4.24),151,92.64,3.73 (3.45-4.00)
oligodendrocytes 3,681.0,0.033,1.0,87,10,11.49,2.03 (1.13-2.94),77,88.51,2.66 (2.38-2.94)
oligodendrocytes 2,1630.0,0.136,37.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
