tipo_celular,module_size,PLD3_MM,PLD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.162,48.0,140,3,2.14,4.46 (1.96-6.95),137,97.86,4.51 (4.08-4.94)
T cells 18,282,0.427,96.0,241,4,1.66,5.46 (3.69-7.22),237,98.34,4.02 (3.77-4.27)
astrocytes 5,228,0.261,81.0,266,27,10.15,2.82 (2.14-3.51),239,89.85,4.28 (4.07-4.49)
oligodendrocyte progenitor cells 7,296,0.324,90.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.311,79.0,262,26,9.92,3.15 (2.62-3.68),236,90.08,4.29 (4.03-4.56)
GLU like neurons 17,1247,0.192,81.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220,0.325,85.0,410,26,6.34,3.57 (3.08-4.06),384,93.66,4.30 (4.10-4.50)
GABA neurons expressing GABA receptors 13,265,0.37,97.0,78,10,12.82,3.54 (3.31-3.78),68,87.18,4.52 (4.04-5.00)
endothelial cells 9,338,0.336,91.0,191,8,4.19,3.81 (3.54-4.09),183,95.81,3.89 (3.65-4.12)
oligodendrocytes 20,676,0.053,24.0,110,4,3.64,1.47 (0.35-2.60),106,96.36,5.18 (4.76-5.61)
GABA like neurons 14,2402,0.35,74.0,455,43,9.45,2.92 (2.38-3.45),412,90.55,4.53 (4.35-4.72)
astrocytes 8,520,0.363,93.0,288,26,9.03,3.57 (2.96-4.19),262,90.97,4.24 (4.03-4.45)
oligodendrocyte progenitor cells 12,3303,0.122,90.0,276,23,8.33,2.09 (1.66-2.52),253,91.67,3.72 (3.49-3.95)
oligodendrocytes 10,806,0.524,96.0,261,22,8.43,3.37 (2.98-3.76),239,91.57,4.47 (4.21-4.73)
connective tissue cells 21,101,0.312,51.0,116,8,6.9,1.96 (1.05-2.86),108,93.1,4.75 (4.33-5.16)
astrocytes 15,338,0.105,15.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,313,0.445,90.0,291,14,4.81,3.45 (2.68-4.22),277,95.19,4.39 (4.15-4.62)
da neurons 6,300,0.364,94.0,159,5,3.14,4.63 (3.41-5.85),154,96.86,4.35 (4.03-4.67)
astrocytes microglia 23,53,0.265,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.216,63.0,178,20,11.24,2.35 (1.60-3.11),158,88.76,4.39 (4.13-4.65)
oligodendrocytes 0,116,0.201,65.0,169,1,0.59,7.00 (NA-NA),168,99.41,4.25 (3.96-4.55)
microglia 1,214,0.331,85.0,227,11,4.85,3.54 (2.76-4.32),216,95.15,4.12 (3.87-4.36)
oligodendrocytes 3,457,0.227,86.0,345,20,5.8,3.67 (3.08-4.26),325,94.2,4.32 (4.10-4.53)
oligodendrocytes 2,99,0.231,45.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
