tipo_celular,module_size,GUK1_MM,GUK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.286,87.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,506,0.212,59.0,225,5,2.22,2.22 (0.77-3.68),220,97.78,3.65 (3.40-3.91)
astrocytes 5,328,0.192,63.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.173,55.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,567,0.113,13.0,16,2,12.5,1.95 (NA-NA),14,87.5,1.97 (1.25-2.70)
GLU like neurons 17,685,0.196,76.0,135,6,4.44,1.13 (0.75-1.52),129,95.56,3.30 (3.00-3.61)
da like neurons 11,1220,0.284,78.0,410,24,5.85,3.42 (3.09-3.76),386,94.15,4.32 (4.12-4.52)
GABA neurons expressing GABA receptors 13,417,0.287,96.0,213,20,9.39,2.84 (2.17-3.51),193,90.61,3.88 (3.62-4.14)
endothelial cells 9,916,0.427,87.0,302,13,4.3,3.63 (3.07-4.19),289,95.7,4.00 (3.77-4.24)
oligodendrocytes 20,938,0.257,90.0,169,14,8.28,3.23 (2.50-3.96),155,91.72,3.51 (3.28-3.74)
GABA like neurons 14,2402,0.623,96.0,455,22,4.84,2.89 (2.29-3.49),433,95.16,4.45 (4.26-4.64)
astrocytes 8,603,0.174,87.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,1049,0.261,89.0,235,7,2.98,3.97 (3.92-4.01),228,97.02,3.82 (3.58-4.06)
oligodendrocytes 10,735,0.241,95.0,277,13,4.69,3.88 (3.79-3.97),264,95.31,3.89 (3.64-4.15)
connective tissue cells 21,125,0.283,45.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401,0.051,18.0,96,1,1.04,4.07 (NA-NA),95,98.96,3.61 (3.15-4.06)
oligodendrocytes 16,158,0.322,94.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729,0.296,95.0,182,3,1.65,3.05 (1.35-4.75),179,98.35,3.65 (3.39-3.90)
astrocytes microglia 23,94,0.372,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208,0.133,14.0,173,1,0.58,3.72 (NA-NA),172,99.42,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.254,80.0,252,18,7.14,2.62 (1.91-3.32),234,92.86,4.24 (3.99-4.50)
microglia 1,406,0.155,40.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303,0.158,58.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.421,85.0,213,12,5.63,3.92 (3.86-3.97),201,94.37,3.98 (3.69-4.28)
