tipo_celular,module_size,MAPK8_MM,MAPK8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.151,46.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610,0.206,83.0,98,44,44.9,2.67 (2.19-3.14),54,55.1,3.55 (3.17-3.93)
astrocytes 5,1141,0.195,99.0,166,39,23.49,2.68 (2.26-3.11),127,76.51,3.66 (3.37-3.95)
oligodendrocyte progenitor cells 7,436,0.095,26.0,219,10,4.57,5.46 (4.25-6.67),209,95.43,5.20 (4.91-5.50)
GABA neurons expressing GLU receptors 22,487,0.031,1.0,73,4,5.48,1.85 (0.96-2.75),69,94.52,2.82 (2.41-3.22)
GLU like neurons 17,1316,0.113,42.0,101,7,6.93,4.47 (2.99-5.95),94,93.07,2.94 (2.59-3.29)
da like neurons 11,172,0.348,84.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,101,0.159,45.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.199,89.0,297,6,2.02,3.12 (1.95-4.29),291,97.98,3.68 (3.47-3.88)
oligodendrocytes 20,295,0.193,51.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300,0.193,43.0,306,48,15.69,3.31 (2.85-3.78),258,84.31,5.52 (5.25-5.79)
astrocytes 8,577,0.072,39.0,83,10,12.05,3.30 (1.77-4.82),73,87.95,3.24 (2.77-3.72)
oligodendrocyte progenitor cells 12,153,0.48,81.0,27,6,22.22,3.48 (1.66-5.30),21,77.78,5.33 (4.28-6.38)
oligodendrocytes 10,2107,0.231,78.0,358,71,19.83,2.60 (2.20-2.99),287,80.17,4.28 (4.09-4.47)
connective tissue cells 21,93,0.216,19.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,261,0.142,47.0,8,5,62.5,2.11 (0.07-4.15),3,37.5,5.77 (3.36-8.18)
oligodendrocytes 16,104,0.221,56.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,398,0.106,25.0,138,39,28.26,3.20 (2.75-3.65),99,71.74,5.58 (5.17-5.98)
astrocytes microglia 23,190,0.26,47.0,7,3,42.86,3.92 (3.20-4.64),4,57.14,5.76 (4.31-7.21)
astrocytes 4,752,0.209,99.0,96,14,14.58,3.15 (2.59-3.71),82,85.42,3.31 (2.94-3.69)
oligodendrocytes 0,1186,0.152,64.0,300,28,9.33,4.00 (3.49-4.50),272,90.67,3.77 (3.55-3.99)
microglia 1,958,0.114,56.0,290,28,9.66,2.96 (2.44-3.48),262,90.34,3.93 (3.69-4.18)
oligodendrocytes 3,1003,0.116,69.0,111,2,1.8,5.15 (0.37-9.93),109,98.2,3.26 (2.93-3.60)
oligodendrocytes 2,804,0.216,96.0,84,16,19.05,2.72 (2.03-3.42),68,80.95,2.68 (2.29-3.06)
