tipo_celular,module_size,B4GALT5_MM,B4GALT5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.211,67.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,393,0.115,23.0,59,2,3.39,3.09 (2.64-3.53),57,96.61,3.11 (2.59-3.63)
astrocytes 5,322,0.22,71.0,58,11,18.97,3.11 (2.43-3.80),47,81.03,4.48 (4.01-4.95)
oligodendrocyte progenitor cells 7,4285,0.141,60.0,353,24,6.8,1.68 (1.21-2.14),329,93.2,4.10 (3.92-4.28)
GABA neurons expressing GLU receptors 22,599,0.249,69.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.089,18.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,145,0.076,5.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.118,19.0,93,28,30.11,4.77 (3.88-5.67),65,69.89,5.35 (4.76-5.94)
endothelial cells 9,412,0.271,83.0,141,2,1.42,0.83 (0.75-0.91),139,98.58,2.99 (2.76-3.23)
oligodendrocytes 20,233,0.362,89.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.163,71.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,1266,0.079,48.0,66,16,24.24,2.64 (1.63-3.64),50,75.76,3.46 (3.04-3.88)
oligodendrocyte progenitor cells 12,3303,0.122,90.0,276,12,4.35,1.88 (1.35-2.41),264,95.65,3.64 (3.42-3.86)
oligodendrocytes 10,2107,0.09,23.0,358,23,6.42,1.40 (1.01-1.80),335,93.58,4.09 (3.91-4.28)
connective tissue cells 21,139,0.188,3.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1401,0.113,73.0,96,4,4.17,3.56 (2.40-4.72),92,95.83,3.62 (3.15-4.08)
oligodendrocytes 16,81,0.354,98.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,307,0.108,38.0,95,3,3.16,2.92 (NA-NA),92,96.84,4.87 (4.43-5.31)
astrocytes microglia 23,54,0.289,31.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171,0.173,49.0,22,2,9.09,4.56 (NA-NA),20,90.91,4.54 (3.56-5.52)
oligodendrocytes 0,2078,0.143,96.0,238,6,2.52,2.48 (1.56-3.40),232,97.48,3.67 (3.45-3.90)
microglia 1,813,0.154,81.0,79,3,3.8,2.28 (1.65-2.91),76,96.2,3.14 (2.72-3.55)
oligodendrocytes 3,854,0.089,49.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,921,0.13,36.0,200,4,2.0,1.81 (1.43-2.19),196,98.0,3.67 (3.40-3.94)
