tipo_celular,module_size,SNCG_MM,SNCG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.308,85.0,140,14,10.0,4.67 (3.45-5.88),126,90.0,4.48 (4.03-4.93)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.288,86.0,266,35,13.16,3.43 (2.57-4.28),231,86.84,4.22 (4.02-4.42)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.13,14.0,262,33,12.6,4.43 (3.59-5.26),229,87.4,4.12 (3.86-4.38)
GLU like neurons 17,1316.0,0.19,91.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.589,100.0,410,16,3.9,3.26 (2.20-4.31),394,96.1,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,417.0,0.323,98.0,213,16,7.51,1.81 (0.86-2.75),197,92.49,3.91 (3.67-4.15)
endothelial cells 9,338.0,0.258,80.0,191,5,2.62,4.54 (2.82-6.27),186,97.38,3.87 (3.64-4.09)
oligodendrocytes 20,295.0,0.08,13.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.74,100.0,455,16,3.52,2.14 (1.09-3.19),439,96.48,4.42 (4.24-4.61)
astrocytes 8,520.0,0.303,88.0,288,23,7.99,3.60 (2.85-4.36),265,92.01,4.21 (4.01-4.42)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.422,92.0,261,24,9.2,4.85 (3.89-5.80),237,90.8,4.32 (4.07-4.57)
connective tissue cells 21,101.0,0.421,78.0,116,27,23.28,4.17 (3.23-5.11),89,76.72,4.74 (4.28-5.20)
astrocytes 15,443.0,0.273,96.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,313.0,0.328,77.0,291,17,5.84,4.02 (2.88-5.17),274,94.16,4.35 (4.12-4.57)
da neurons 6,729.0,0.384,100.0,182,2,1.1,1.57 (1.57-1.57),180,98.9,3.66 (3.41-3.92)
astrocytes microglia 23,161.0,0.189,0.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,157.0,0.284,76.0,178,31,17.42,3.63 (2.70-4.56),147,82.58,4.26 (4.00-4.52)
oligodendrocytes 0,116.0,0.234,71.0,169,7,4.14,5.24 (3.25-7.22),162,95.86,4.23 (3.93-4.52)
microglia 1,214.0,0.301,79.0,227,19,8.37,4.60 (3.86-5.34),208,91.63,4.05 (3.80-4.30)
oligodendrocytes 3,457.0,0.33,94.0,345,29,8.41,3.66 (2.87-4.46),316,91.59,4.33 (4.11-4.54)
oligodendrocytes 2,99.0,0.305,67.0,116,4,3.45,6.42 (5.14-7.69),112,96.55,3.87 (3.58-4.16)
