tipo_celular,module_size,CHD6_MM,CHD6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.2,68.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610,0.165,61.0,98,31,31.63,1.92 (1.51-2.33),67,68.37,3.77 (3.44-4.10)
astrocytes 5,1141,0.116,29.0,166,38,22.89,2.24 (1.87-2.61),128,77.11,3.80 (3.52-4.08)
oligodendrocyte progenitor cells 7,436,0.133,53.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,714,0.083,4.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94)
GLU like neurons 17,795,0.151,60.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,853,0.099,26.0,133,44,33.08,1.97 (1.64-2.31),89,66.92,4.01 (3.66-4.37)
GABA neurons expressing GABA receptors 13,101,0.149,37.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.15,67.0,297,7,2.36,3.79 (2.56-5.03),290,97.64,3.67 (3.46-3.88)
oligodendrocytes 20,250,0.163,41.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300,0.12,13.0,306,7,2.29,1.19 (0.72-1.66),299,97.71,5.23 (4.98-5.48)
astrocytes 8,1266,0.09,59.0,66,19,28.79,1.69 (1.20-2.18),47,71.21,3.94 (3.53-4.35)
oligodendrocyte progenitor cells 12,254,0.377,77.0,37,1,2.7,2.31 (NA-NA),36,97.3,4.57 (3.99-5.15)
oligodendrocytes 10,2107,0.179,62.0,358,71,19.83,2.13 (1.86-2.40),287,80.17,4.45 (4.27-4.63)
connective tissue cells 21,104,0.236,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443,0.148,46.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,123,0.203,43.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,228,0.061,6.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,253,0.269,58.0,47,7,14.89,2.59 (1.62-3.56),40,85.11,2.90 (2.55-3.25)
astrocytes 4,752,0.138,28.0,96,10,10.42,2.36 (1.97-2.75),86,89.58,3.43 (3.07-3.79)
oligodendrocytes 0,1186,0.156,69.0,300,8,2.67,2.97 (2.58-3.37),292,97.33,3.82 (3.61-4.03)
microglia 1,1615,0.137,82.0,161,54,33.54,2.09 (1.80-2.38),107,66.46,4.07 (3.77-4.36)
oligodendrocytes 3,1003,0.105,60.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804,0.142,37.0,84,7,8.33,2.32 (1.04-3.61),77,91.67,2.73 (2.38-3.08)
