tipo_celular,module_size,KIDINS220_MM,KIDINS220_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.121,21.0,15,5,33.33,6.20 (5.24-7.16),10,66.67,5.45 (4.46-6.44)
T cells 18,610,0.184,73.0,98,11,11.22,1.17 (0.45-1.90),87,88.78,3.40 (3.10-3.70)
astrocytes 5,1141,0.161,86.0,166,4,2.41,1.21 (-0.32-2.75),162,97.59,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,448,0.198,79.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,487,0.087,4.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,685,0.079,15.0,135,10,7.41,1.82 (1.25-2.38),125,92.59,3.32 (3.00-3.64)
da like neurons 11,61,0.345,57.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,265,0.114,22.0,78,2,2.56,3.18 (3.18-3.18),76,97.44,4.40 (3.97-4.82)
endothelial cells 9,1653,0.126,48.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.293,53.0,110,23,20.91,4.23 (3.35-5.12),87,79.09,5.31 (4.81-5.81)
GABA like neurons 14,1300,0.063,4.0,306,37,12.09,3.68 (3.02-4.34),269,87.91,5.40 (5.14-5.67)
astrocytes 8,771,0.118,48.0,48,4,8.33,5.16 (2.28-8.04),44,91.67,4.35 (3.56-5.13)
oligodendrocyte progenitor cells 12,103,0.466,61.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41)
oligodendrocytes 10,236,0.504,55.0,82,5,6.1,3.61 (2.96-4.26),77,93.9,5.11 (4.56-5.66)
connective tissue cells 21,183,0.177,14.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,1401,0.143,87.0,96,10,10.42,4.58 (3.34-5.82),86,89.58,3.47 (3.00-3.95)
oligodendrocytes 16,153,0.378,56.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,518,0.176,89.0,122,20,16.39,2.89 (1.87-3.91),102,83.61,4.29 (3.90-4.68)
astrocytes microglia 23,253,0.193,18.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752,0.165,67.0,96,3,3.12,4.33 (3.16-5.50),93,96.88,3.25 (2.91-3.58)
oligodendrocytes 0,261,0.22,75.0,42,10,23.81,2.56 (1.40-3.72),32,76.19,4.74 (4.04-5.45)
microglia 1,813,0.093,20.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,116,0.359,96.0,7,4,57.14,3.09 (0.52-5.67),3,42.86,6.20 (NA-NA)
oligodendrocytes 2,347,0.193,49.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
