tipo_celular,module_size,TRIO_MM,TRIO_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.127,15.0,140,24,17.14,3.52 (2.94-4.11),116,82.86,4.78 (4.48-5.09)
T cells 18,393,0.276,86.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62)
astrocytes 5,322,0.259,81.0,58,17,29.31,3.40 (2.71-4.09),41,70.69,4.55 (4.06-5.04)
oligodendrocyte progenitor cells 7,4285,0.03,1.0,353,20,5.67,2.79 (2.10-3.47),333,94.33,3.98 (3.79-4.17)
GABA neurons expressing GLU receptors 22,192,0.138,57.0,55,1,1.82,7.70 (NA-NA),54,98.18,3.95 (3.55-4.35)
GLU like neurons 17,685,0.104,31.0,135,15,11.11,2.74 (2.01-3.47),120,88.89,3.25 (2.92-3.59)
da like neurons 11,137,0.405,87.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.145,37.0,93,37,39.78,4.66 (3.91-5.40),56,60.22,5.57 (4.93-6.21)
endothelial cells 9,658,0.342,85.0,120,35,29.17,3.93 (3.41-4.45),85,70.83,4.92 (4.54-5.29)
oligodendrocytes 20,298,0.311,93.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.297,87.0,306,73,23.86,4.18 (3.70-4.67),233,76.14,5.50 (5.21-5.80)
astrocytes 8,279,0.243,36.0,78,20,25.64,3.25 (2.60-3.90),58,74.36,4.71 (4.24-5.18)
oligodendrocyte progenitor cells 12,708,0.255,82.0,32,7,21.88,2.97 (1.08-4.87),25,78.12,3.34 (2.44-4.24)
oligodendrocytes 10,2107,0.464,99.0,358,25,6.98,2.59 (1.96-3.21),333,93.02,3.99 (3.79-4.18)
connective tissue cells 21,114,0.213,26.0,19,8,42.11,3.55 (2.92-4.18),11,57.89,5.84 (5.19-6.50)
astrocytes 15,1768,0.089,52.0,105,10,9.52,1.99 (1.38-2.59),95,90.48,3.35 (3.00-3.71)
oligodendrocytes 16,149,0.255,63.0,70,11,15.71,5.39 (4.70-6.08),59,84.29,5.70 (5.15-6.25)
da neurons 6,398,0.138,46.0,138,37,26.81,3.48 (2.97-3.98),101,73.19,5.42 (5.00-5.85)
astrocytes microglia 23,91,0.158,3.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,171,0.248,81.0,22,2,9.09,5.12 (0.07-10.17),20,90.91,4.46 (3.55-5.38)
oligodendrocytes 0,1186,0.183,95.0,300,14,4.67,3.69 (3.34-4.03),286,95.33,3.80 (3.58-4.01)
microglia 1,315,0.081,7.0,144,19,13.19,4.07 (3.25-4.90),125,86.81,4.52 (4.19-4.85)
oligodendrocytes 3,854,0.09,49.0,76,6,7.89,3.51 (2.20-4.82),70,92.11,2.71 (2.38-3.05)
oligodendrocytes 2,804,0.18,78.0,84,12,14.29,2.83 (2.02-3.63),72,85.71,2.66 (2.29-3.03)
