tipo_celular,module_size,LAMP1_MM,LAMP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.131,10.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,393,0.133,36.0,59,9,15.25,4.20 (3.33-5.07),50,84.75,2.97 (2.43-3.51)
astrocytes 5,328,0.141,34.0,128,5,3.91,4.51 (3.96-5.06),123,96.09,3.52 (3.16-3.87)
oligodendrocyte progenitor cells 7,628,0.21,73.0,164,19,11.59,3.75 (3.40-4.11),145,88.41,4.14 (3.76-4.51)
GABA neurons expressing GLU receptors 22,703,0.263,88.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,380,0.148,34.0,39,7,17.95,3.80 (2.49-5.12),32,82.05,2.76 (2.17-3.36)
da like neurons 11,1220,0.19,53.0,410,56,13.66,3.87 (3.56-4.19),354,86.34,4.32 (4.10-4.53)
GABA neurons expressing GABA receptors 13,357,0.152,46.0,237,23,9.7,4.32 (4.01-4.63),214,90.3,4.42 (4.16-4.68)
endothelial cells 9,916,0.18,41.0,302,12,3.97,2.52 (1.59-3.45),290,96.03,4.04 (3.81-4.27)
oligodendrocytes 20,938,0.213,83.0,169,32,18.93,3.28 (2.77-3.80),137,81.07,3.52 (3.28-3.77)
GABA like neurons 14,2402,0.235,52.0,455,56,12.31,3.56 (3.07-4.05),399,87.69,4.47 (4.27-4.67)
astrocytes 8,603,0.155,82.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049,0.168,79.0,235,27,11.49,3.95 (3.58-4.33),208,88.51,3.81 (3.55-4.06)
oligodendrocytes 10,483,0.149,61.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301,0.347,45.0,158,16,10.13,3.53 (2.90-4.16),142,89.87,4.35 (3.95-4.76)
astrocytes 15,1768,0.044,9.0,105,13,12.38,2.44 (1.71-3.18),92,87.62,3.33 (2.97-3.70)
oligodendrocytes 16,113,0.148,11.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,518,0.081,17.0,122,29,23.77,2.20 (1.76-2.64),93,76.23,4.65 (4.23-5.06)
astrocytes microglia 23,108,0.219,7.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,787,0.149,45.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,546,0.253,80.0,252,41,16.27,3.03 (2.47-3.60),211,83.73,4.31 (4.05-4.58)
microglia 1,406,0.17,46.0,278,29,10.43,5.33 (4.69-5.97),249,89.57,4.23 (3.94-4.52)
oligodendrocytes 3,743,0.189,97.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.433,96.0,175,43,24.57,3.87 (3.46-4.28),132,75.43,4.58 (4.13-5.04)
