tipo_celular,module_size,YPEL3_MM,YPEL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.173,47.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,506,0.135,28.0,225,3,1.33,2.04 (1.76-2.32),222,98.67,3.64 (3.39-3.89)
astrocytes 5,328,0.092,10.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.209,72.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848,0.3,76.0,262,3,1.15,1.28 (-0.26-2.81),259,98.85,4.21 (3.96-4.45)
GLU like neurons 17,1316,0.141,66.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.281,77.0,410,0,0.0,NA,410,100.0,4.25 (4.06-4.43)
GABA neurons expressing GABA receptors 13,417,0.217,78.0,213,2,0.94,0.51 (-0.09-1.11),211,99.06,3.79 (3.55-4.03)
endothelial cells 9,916,0.152,33.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,253,0.163,54.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.623,96.0,455,2,0.44,1.81 (-0.13-3.75),453,99.56,4.36 (4.17-4.54)
astrocytes 8,603,0.11,70.0,89,2,2.25,1.81 (-0.13-3.75),87,97.75,2.79 (2.43-3.15)
oligodendrocyte progenitor cells 12,1049,0.177,81.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,806,0.111,31.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,126,0.363,91.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,458,0.056,23.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,91,0.177,33.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,729,0.238,85.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,78,0.288,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.112,7.0,104,3,2.88,1.28 (-0.26-2.81),101,97.12,2.91 (2.63-3.19)
oligodendrocytes 0,546,0.163,46.0,252,1,0.4,0.82 (NA-NA),251,99.6,4.11 (3.86-4.35)
microglia 1,1615,0.116,61.0,161,5,3.11,1.66 (0.67-2.65),156,96.89,3.34 (3.06-3.61)
oligodendrocytes 3,743,0.12,85.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,526,0.227,39.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
