tipo_celular,module_size,JAK1_MM,JAK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.162,54.0,19,1,5.26,3.38 (NA-NA),18,94.74,2.47 (1.72-3.22)
T cells 18,506,0.096,9.0,225,25,11.11,3.48 (2.89-4.08),200,88.89,3.63 (3.36-3.91)
astrocytes 5,1141,0.123,36.0,166,13,7.83,1.87 (1.13-2.60),153,92.17,3.55 (3.30-3.80)
oligodendrocyte progenitor cells 7,666,0.134,25.0,127,26,20.47,3.42 (2.71-4.12),101,79.53,3.98 (3.59-4.36)
GABA neurons expressing GLU receptors 22,487,0.101,7.0,73,1,1.37,4.70 (NA-NA),72,98.63,2.72 (2.34-3.11)
GLU like neurons 17,795,0.072,11.0,80,5,6.25,3.51 (2.72-4.31),75,93.75,5.89 (5.49-6.30)
da like neurons 11,200,0.306,82.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,86,0.179,64.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,586,0.225,53.0,62,4,6.45,3.67 (2.12-5.21),58,93.55,4.08 (3.61-4.55)
oligodendrocytes 20,228,0.221,57.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2090,0.082,6.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,577,0.065,31.0,83,6,7.23,3.10 (2.00-4.20),77,92.77,3.27 (2.78-3.75)
oligodendrocyte progenitor cells 12,3303,0.151,99.0,276,29,10.51,2.47 (1.97-2.97),247,89.49,3.68 (3.45-3.91)
oligodendrocytes 10,2107,0.096,26.0,358,37,10.34,2.10 (1.64-2.56),321,89.66,4.13 (3.94-4.32)
connective tissue cells 21,103,0.241,26.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,367,0.156,58.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,105,0.15,13.0,12,1,8.33,NA,11,91.67,2.24 (1.48-3.00)
da neurons 6,518,0.138,76.0,122,18,14.75,2.09 (1.53-2.64),104,85.25,4.44 (4.04-4.85)
astrocytes microglia 23,255,0.26,51.0,57,8,14.04,3.24 (2.70-3.79),49,85.96,2.54 (2.13-2.95)
astrocytes 4,752,0.149,43.0,96,3,3.12,4.11 (3.71-4.50),93,96.88,3.26 (2.92-3.60)
oligodendrocytes 0,2078,0.113,47.0,238,7,2.94,2.39 (1.61-3.17),231,97.06,3.68 (3.46-3.91)
microglia 1,958,0.156,92.0,290,22,7.59,3.21 (2.29-4.13),268,92.41,3.86 (3.63-4.10)
oligodendrocytes 3,94,0.07,33.0,7,1,14.29,NA,6,85.71,5.62 (2.52-8.73)
oligodendrocytes 2,921,0.114,16.0,200,7,3.5,3.79 (2.16-5.42),193,96.5,3.62 (3.35-3.89)
