tipo_celular,module_size,RTN1_MM,RTN1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.148,40.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.29,96.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,448.0,0.103,21.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,848.0,0.15,24.0,262,29,11.07,3.54 (2.93-4.16),233,88.93,4.26 (4.00-4.53)
GLU like neurons 17,1316.0,0.15,72.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220.0,0.205,58.0,410,15,3.66,3.14 (2.55-3.72),395,96.34,4.31 (4.11-4.50)
GABA neurons expressing GABA receptors 13,265.0,0.329,93.0,78,6,7.69,3.54 (3.23-3.85),72,92.31,4.45 (4.00-4.90)
endothelial cells 9,658.0,0.149,29.0,120,8,6.67,3.60 (3.09-4.11),112,93.33,4.69 (4.36-5.02)
oligodendrocytes 20,330.0,0.166,49.0,36,4,11.11,2.15 (1.01-3.30),32,88.89,1.89 (1.52-2.26)
GABA like neurons 14,2402.0,0.389,78.0,455,26,5.71,2.30 (1.70-2.89),429,94.29,4.52 (4.33-4.70)
astrocytes 8,520.0,0.23,75.0,288,20,6.94,3.30 (2.65-3.95),268,93.06,4.25 (4.04-4.46)
oligodendrocyte progenitor cells 12,153.0,0.443,66.0,27,9,33.33,4.86 (2.65-7.07),18,66.67,4.70 (3.68-5.71)
oligodendrocytes 10,806.0,0.42,92.0,261,26,9.96,4.45 (3.73-5.17),235,90.04,4.35 (4.10-4.61)
connective tissue cells 21,101.0,0.313,52.0,116,19,16.38,5.63 (4.46-6.79),97,83.62,4.34 (3.93-4.74)
astrocytes 15,1401.0,0.132,83.0,96,4,4.17,2.66 (1.87-3.45),92,95.83,3.66 (3.19-4.13)
oligodendrocytes 16,313.0,0.272,67.0,291,12,4.12,4.42 (2.91-5.92),279,95.88,4.32 (4.10-4.54)
da neurons 6,300.0,0.278,83.0,159,1,0.63,NA,158,99.37,4.36 (4.06-4.67)
astrocytes microglia 23,255.0,0.278,65.0,57,2,3.51,2.80 (1.08-4.52),55,96.49,2.65 (2.27-3.02)
astrocytes 4,752.0,0.098,2.0,96,7,7.29,3.14 (2.21-4.08),89,92.71,3.30 (2.95-3.66)
oligodendrocytes 0,309.0,0.102,17.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,214.0,0.185,53.0,227,11,4.85,5.10 (3.77-6.43),216,95.15,4.03 (3.80-4.27)
oligodendrocytes 3,681.0,0.087,42.0,87,15,17.24,1.78 (1.24-2.32),72,82.76,2.77 (2.47-3.06)
oligodendrocytes 2,804.0,0.118,12.0,84,6,7.14,1.28 (0.68-1.88),78,92.86,2.83 (2.48-3.17)
