tipo_celular,module_size,ZBTB38_MM,ZBTB38_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.195,44.0,21,12,57.14,1.57 (0.94-2.20),9,42.86,3.39 (2.59-4.20)
T cells 18,518,0.096,12.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,1141,0.098,12.0,166,42,25.3,2.42 (2.11-2.73),124,74.7,3.82 (3.52-4.12)
oligodendrocyte progenitor cells 7,4285,0.141,59.0,353,60,17.0,2.20 (1.94-2.46),293,83.0,4.37 (4.19-4.55)
GABA neurons expressing GLU receptors 22,848,0.191,42.0,262,10,3.82,2.13 (1.21-3.04),252,96.18,4.27 (4.03-4.52)
GLU like neurons 17,1316,0.146,69.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,289,0.208,62.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,200,0.175,64.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,385,0.139,75.0,275,59,21.45,2.30 (2.02-2.59),216,78.55,4.69 (4.42-4.97)
oligodendrocytes 20,330,0.145,38.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40)
GABA like neurons 14,3052,0.158,66.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,354,0.141,62.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708,0.1,44.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204,0.033,3.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,152,0.316,73.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,367,0.148,52.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,121,0.147,7.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,448,0.113,64.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,108,0.266,17.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,721,0.132,16.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,187,0.145,34.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,958,0.089,16.0,290,12,4.14,2.58 (1.81-3.35),278,95.86,3.88 (3.65-4.12)
oligodendrocytes 3,854,0.108,70.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921,0.13,36.0,200,4,2.0,2.50 (1.72-3.28),196,98.0,3.65 (3.38-3.92)
