tipo_celular,module_size,EIF1_MM,EIF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.243,52.0,98,10,10.2,1.80 (1.25-2.36),88,89.8,3.45 (2.94-3.97)
T cells 18,506,0.321,79.0,225,15,6.67,2.46 (1.74-3.17),210,93.33,3.72 (3.46-3.98)
astrocytes 5,328,0.32,88.0,128,2,1.56,2.68 (2.52-2.84),126,98.44,3.59 (3.24-3.94)
oligodendrocyte progenitor cells 7,628,0.377,96.0,164,1,0.61,5.16 (NA-NA),163,99.39,4.08 (3.75-4.40)
GABA neurons expressing GLU receptors 22,848,0.353,86.0,262,16,6.11,2.97 (1.89-4.06),246,93.89,4.24 (3.99-4.49)
GLU like neurons 17,685,0.28,89.0,135,23,17.04,2.02 (1.48-2.55),112,82.96,3.49 (3.15-3.82)
da like neurons 11,1220,0.399,93.0,410,16,3.9,3.30 (2.31-4.29),394,96.1,4.30 (4.11-4.49)
GABA neurons expressing GABA receptors 13,417,0.237,86.0,213,23,10.8,1.67 (1.13-2.21),190,89.2,4.08 (3.85-4.31)
endothelial cells 9,916,0.556,96.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,938,0.335,96.0,169,13,7.69,2.57 (1.72-3.43),156,92.31,3.57 (3.34-3.79)
GABA like neurons 14,2402,0.604,96.0,455,34,7.47,2.24 (1.56-2.93),421,92.53,4.55 (4.38-4.73)
astrocytes 8,603,0.273,96.0,89,10,11.24,1.49 (1.10-1.89),79,88.76,2.99 (2.61-3.37)
oligodendrocyte progenitor cells 12,1049,0.302,92.0,235,8,3.4,3.21 (2.42-4.00),227,96.6,3.85 (3.61-4.09)
oligodendrocytes 10,735,0.286,99.0,277,2,0.72,8.28 (NA-NA),275,99.28,3.87 (3.63-4.11)
connective tissue cells 21,301,0.381,53.0,158,8,5.06,1.91 (1.12-2.69),150,94.94,4.44 (4.08-4.81)
astrocytes 15,458,0.112,59.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,113,0.173,26.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,729,0.265,91.0,182,6,3.3,2.15 (1.09-3.21),176,96.7,3.70 (3.44-3.95)
astrocytes microglia 23,137,0.335,41.0,188,16,8.51,1.40 (0.99-1.80),172,91.49,4.74 (4.42-5.06)
astrocytes 4,208,0.278,78.0,173,1,0.58,2.76 (NA-NA),172,99.42,3.81 (3.50-4.11)
oligodendrocytes 0,546,0.445,99.0,252,24,9.52,1.71 (1.20-2.21),228,90.48,4.44 (4.20-4.67)
microglia 1,406,0.438,82.0,278,4,1.44,3.77 (2.43-5.11),274,98.56,4.37 (4.10-4.65)
oligodendrocytes 3,303,0.318,98.0,154,1,0.65,2.76 (NA-NA),153,99.35,3.63 (3.31-3.95)
oligodendrocytes 2,526,0.639,99.0,213,1,0.47,3.96 (NA-NA),212,99.53,3.98 (3.70-4.25)
