tipo_celular,module_size,GPATCH2L_MM,GPATCH2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.107,3.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,610,0.238,94.0,98,7,7.14,0.75 (0.30-1.20),91,92.86,3.32 (3.02-3.63)
astrocytes 5,1141,0.144,69.0,166,3,1.81,0.76 (0.35-1.17),163,98.19,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,4285,0.154,78.0,353,8,2.27,0.72 (0.33-1.11),345,97.73,3.98 (3.80-4.16)
GABA neurons expressing GLU receptors 22,848,0.102,6.0,262,1,0.38,0.55 (NA-NA),261,99.62,4.18 (3.93-4.42)
GLU like neurons 17,300,0.171,34.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,145,0.087,10.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,200,0.117,19.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,1653,0.111,36.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.138,34.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,3052,0.18,83.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354,0.043,7.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.099,73.0,276,3,1.09,1.22 (0.43-2.02),273,98.91,3.57 (3.36-3.79)
oligodendrocytes 10,2107,0.207,71.0,358,8,2.23,0.72 (0.33-1.11),350,97.77,3.96 (3.77-4.14)
connective tissue cells 21,118,0.263,28.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768,0.054,18.0,105,3,2.86,1.22 (0.43-2.02),102,97.14,3.28 (2.94-3.61)
oligodendrocytes 16,81,0.151,29.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,553,0.142,60.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,137,0.207,9.0,188,5,2.66,0.64 (0.36-0.91),183,97.34,4.49 (4.16-4.82)
astrocytes 4,721,0.155,56.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.148,57.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,346,0.152,53.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,854,0.086,44.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,804,0.117,11.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02)
