tipo_celular,module_size,HUWE1_MM,HUWE1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.111,2.0,21,14,66.67,1.76 (1.12-2.40),7,33.33,3.56 (2.68-4.44)
T cells 18,727,0.236,96.0,49,10,20.41,4.06 (3.15-4.97),39,79.59,2.18 (1.80-2.56)
astrocytes 5,1141,0.116,28.0,166,47,28.31,2.52 (2.16-2.89),119,71.69,3.75 (3.45-4.04)
oligodendrocyte progenitor cells 7,4285,0.163,88.0,353,78,22.1,2.52 (2.21-2.82),275,77.9,4.38 (4.20-4.57)
GABA neurons expressing GLU receptors 22,1069,0.29,99.0,37,2,5.41,2.13 (0.94-3.32),35,94.59,2.16 (1.68-2.64)
GLU like neurons 17,380,0.15,35.0,39,7,17.95,2.99 (1.75-4.22),32,82.05,2.96 (2.36-3.57)
da like neurons 11,209,0.153,40.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.156,47.0,237,8,3.38,3.99 (3.58-4.41),229,96.62,4.42 (4.18-4.66)
endothelial cells 9,1653,0.121,45.0,297,16,5.39,3.85 (3.27-4.43),281,94.61,3.67 (3.45-3.88)
oligodendrocytes 20,228,0.125,23.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,3052,0.167,73.0,125,8,6.4,3.20 (2.95-3.45),117,93.6,3.36 (3.02-3.70)
astrocytes 8,727,0.071,26.0,29,1,3.45,4.07 (NA-NA),28,96.55,2.30 (1.80-2.79)
oligodendrocyte progenitor cells 12,3303,0.111,83.0,276,61,22.1,2.62 (2.28-2.96),215,77.9,3.87 (3.62-4.12)
oligodendrocytes 10,735,0.088,44.0,277,12,4.33,6.07 (5.28-6.85),265,95.67,3.80 (3.56-4.05)
connective tissue cells 21,101,0.182,7.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,377,0.166,61.0,14,5,35.71,1.28 (-0.27-2.83),9,64.29,2.71 (0.96-4.45)
oligodendrocytes 16,105,0.14,8.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,307,0.131,61.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,253,0.272,61.0,47,7,14.89,2.30 (1.30-3.29),40,85.11,2.92 (2.57-3.27)
astrocytes 4,752,0.128,17.0,96,18,18.75,3.57 (2.75-4.39),78,81.25,3.24 (2.88-3.60)
oligodendrocytes 0,1186,0.147,54.0,300,8,2.67,3.88 (1.96-5.79),292,97.33,3.79 (3.58-4.00)
microglia 1,958,0.142,86.0,290,34,11.72,3.51 (2.79-4.23),256,88.28,3.86 (3.62-4.10)
oligodendrocytes 3,854,0.09,50.0,76,6,7.89,1.82 (0.74-2.91),70,92.11,2.85 (2.51-3.19)
oligodendrocytes 2,921,0.143,61.0,200,12,6.0,2.82 (2.24-3.40),188,94.0,3.69 (3.40-3.97)
