tipo_celular,module_size,SMAD2_MM,SMAD2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.175,32.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,624,0.17,64.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47)
astrocytes 5,1141,0.154,80.0,166,42,25.3,2.37 (2.04-2.70),124,74.7,3.84 (3.55-4.13)
oligodendrocyte progenitor cells 7,4285,0.163,88.0,353,61,17.28,2.09 (1.83-2.36),292,82.72,4.40 (4.22-4.57)
GABA neurons expressing GLU receptors 22,823,0.151,32.0,23,2,8.7,1.01 (NA-NA),21,91.3,2.48 (1.73-3.23)
GLU like neurons 17,637,0.151,46.0,91,16,17.58,1.85 (1.01-2.70),75,82.42,5.24 (4.78-5.71)
da like neurons 11,209,0.418,92.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77,0.219,77.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.142,62.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,275,0.273,74.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.213,95.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,140,0.262,83.0,1,1,100.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708,0.334,88.0,32,10,31.25,1.63 (0.66-2.59),22,68.75,4.01 (3.08-4.94)
oligodendrocytes 10,2107,0.218,74.0,358,81,22.63,2.23 (1.97-2.48),277,77.37,4.52 (4.34-4.70)
connective tissue cells 21,103,0.21,14.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,338,0.114,21.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,105,0.232,55.0,12,1,8.33,NA,11,91.67,2.24 (1.48-3.00)
da neurons 6,553,0.083,15.0,124,3,2.42,0.40 (NA-NA),121,97.58,4.23 (3.84-4.61)
astrocytes microglia 23,253,0.343,95.0,47,8,17.02,2.58 (1.89-3.27),39,82.98,2.91 (2.53-3.28)
astrocytes 4,752,0.15,44.0,96,18,18.75,3.14 (2.48-3.80),78,81.25,3.33 (2.95-3.72)
oligodendrocytes 0,1186,0.155,68.0,300,20,6.67,3.40 (3.08-3.72),280,93.33,3.83 (3.61-4.05)
microglia 1,1615,0.156,92.0,161,60,37.27,2.12 (1.85-2.39),101,62.73,4.21 (3.91-4.50)
oligodendrocytes 3,854,0.112,74.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,804,0.174,73.0,84,6,7.14,0.92 (0.41-1.42),78,92.86,2.83 (2.50-3.17)
