tipo_celular,module_size,TUBB2A_MM,TUBB2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.52,99.0,140,3,2.14,4.54 (3.93-5.16),137,97.86,4.50 (4.07-4.94)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,228.0,0.473,97.0,266,29,10.9,3.00 (2.30-3.69),237,89.1,4.27 (4.06-4.48)
oligodendrocyte progenitor cells 7,296.0,0.522,99.0,251,9,3.59,4.63 (4.04-5.22),242,96.41,4.03 (3.78-4.28)
GABA neurons expressing GLU receptors 22,848.0,0.354,86.0,262,25,9.54,2.75 (2.16-3.34),237,90.46,4.32 (4.06-4.57)
GLU like neurons 17,1316.0,0.27,100.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220.0,0.702,100.0,410,22,5.37,3.40 (2.72-4.08),388,94.63,4.29 (4.10-4.49)
GABA neurons expressing GABA receptors 13,417.0,0.253,91.0,213,19,8.92,1.62 (0.91-2.33),194,91.08,3.97 (3.74-4.21)
endothelial cells 9,338.0,0.474,97.0,191,4,2.09,4.55 (2.94-6.16),187,97.91,3.87 (3.64-4.09)
oligodendrocytes 20,221.0,0.089,9.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402.0,0.853,100.0,455,24,5.27,1.97 (1.25-2.69),431,94.73,4.47 (4.29-4.65)
astrocytes 8,520.0,0.576,100.0,288,14,4.86,4.19 (3.25-5.14),274,95.14,4.17 (3.97-4.38)
oligodendrocyte progenitor cells 12,1049.0,0.104,57.0,235,8,3.4,3.59 (2.99-4.20),227,96.6,3.83 (3.59-4.07)
oligodendrocytes 10,806.0,0.665,100.0,261,25,9.58,4.07 (3.53-4.61),236,90.42,4.39 (4.13-4.66)
connective tissue cells 21,101.0,0.541,92.0,116,16,13.79,4.12 (3.30-4.94),100,86.21,4.69 (4.23-5.16)
astrocytes 15,261.0,0.371,98.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,313.0,0.621,99.0,291,23,7.9,3.46 (2.87-4.05),268,92.1,4.42 (4.18-4.65)
da neurons 6,409.0,0.391,99.0,235,12,5.11,3.48 (2.38-4.58),223,94.89,4.00 (3.75-4.26)
astrocytes microglia 23,70.0,0.486,90.0,76,12,15.79,4.85 (4.49-5.22),64,84.21,3.99 (3.33-4.65)
astrocytes 4,157.0,0.376,88.0,178,21,11.8,3.20 (2.26-4.14),157,88.2,4.28 (4.01-4.56)
oligodendrocytes 0,116.0,0.345,82.0,169,8,4.73,4.28 (3.31-5.25),161,95.27,4.28 (3.96-4.59)
microglia 1,214.0,0.54,100.0,227,13,5.73,4.56 (4.01-5.10),214,94.27,4.06 (3.82-4.31)
oligodendrocytes 3,457.0,0.475,99.0,345,28,8.12,3.49 (3.02-3.97),317,91.88,4.36 (4.13-4.58)
oligodendrocytes 2,99.0,0.42,82.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
