tipo_celular,module_size,PPP2R1A_MM,PPP2R1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.124,29.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,282,0.279,85.0,241,4,1.66,4.12 (1.66-6.58),237,98.34,4.05 (3.80-4.31)
astrocytes 5,228,0.198,62.0,266,31,11.65,3.14 (2.27-4.01),235,88.35,4.26 (4.06-4.45)
oligodendrocyte progenitor cells 7,296,0.198,60.0,251,2,0.8,3.76 (2.71-4.81),249,99.2,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.416,94.0,262,25,9.54,3.47 (2.47-4.48),237,90.46,4.24 (3.99-4.49)
GLU like neurons 17,1316,0.133,58.0,101,4,3.96,2.90 (2.82-2.98),97,96.04,3.06 (2.69-3.43)
da like neurons 11,1220,0.308,82.0,410,23,5.61,3.14 (2.57-3.70),387,94.39,4.32 (4.13-4.52)
GABA neurons expressing GABA receptors 13,357,0.08,4.0,237,1,0.42,2.72 (NA-NA),236,99.58,4.42 (4.18-4.65)
endothelial cells 9,338,0.149,58.0,191,1,0.52,4.56 (NA-NA),190,99.48,3.88 (3.66-4.11)
oligodendrocytes 20,295,0.118,20.0,28,5,17.86,2.24 (1.83-2.64),23,82.14,2.18 (1.61-2.74)
GABA like neurons 14,2402,0.421,82.0,455,33,7.25,2.08 (1.54-2.62),422,92.75,4.56 (4.38-4.74)
astrocytes 8,520,0.27,83.0,288,22,7.64,2.83 (2.23-3.42),266,92.36,4.28 (4.08-4.49)
oligodendrocyte progenitor cells 12,3303,0.055,21.0,276,47,17.03,2.27 (1.93-2.61),229,82.97,3.91 (3.67-4.14)
oligodendrocytes 10,806,0.268,74.0,261,18,6.9,4.34 (3.18-5.50),243,93.1,4.37 (4.12-4.61)
connective tissue cells 21,116,0.298,60.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1401,0.057,24.0,96,7,7.29,2.75 (1.93-3.57),89,92.71,3.70 (3.21-4.18)
oligodendrocytes 16,313,0.236,58.0,291,7,2.41,4.77 (2.93-6.60),284,97.59,4.31 (4.09-4.54)
da neurons 6,300,0.24,74.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,126,0.228,4.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,157,0.143,21.0,178,24,13.48,3.49 (2.37-4.61),154,86.52,4.25 (4.00-4.51)
oligodendrocytes 0,116,0.098,17.0,169,2,1.18,7.70 (7.70-7.70),167,98.82,4.22 (3.93-4.51)
microglia 1,214,0.204,57.0,227,14,6.17,4.21 (3.13-5.29),213,93.83,4.08 (3.84-4.33)
oligodendrocytes 3,457,0.153,66.0,345,28,8.12,4.06 (3.29-4.82),317,91.88,4.29 (4.08-4.51)
oligodendrocytes 2,99,0.171,27.0,116,3,2.59,4.89 (2.13-7.64),113,97.41,3.92 (3.62-4.22)
