tipo_celular,module_size,MAGI2_MM,MAGI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.708,99.0,15,8,53.33,5.58 (4.76-6.41),7,46.67,6.34 (5.02-7.67)
T cells 18,349,0.688,99.0,68,30,44.12,4.02 (3.31-4.73),38,55.88,4.78 (3.91-5.64)
astrocytes 5,222,0.221,56.0,98,9,9.18,3.38 (2.18-4.57),89,90.82,4.71 (4.29-5.13)
oligodendrocyte progenitor cells 7,229,0.156,31.0,45,5,11.11,4.95 (4.77-5.12),40,88.89,5.01 (4.29-5.73)
GABA neurons expressing GLU receptors 22,823,0.183,52.0,23,3,13.04,3.78 (NA-NA),20,86.96,2.31 (1.57-3.06)
GLU like neurons 17,637,0.268,78.0,91,19,20.88,2.00 (1.32-2.68),72,79.12,5.47 (5.03-5.91)
da like neurons 11,109,0.445,100.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.455,95.0,93,40,43.01,4.45 (3.77-5.13),53,56.99,5.75 (5.09-6.41)
endothelial cells 9,450,0.459,84.0,74,27,36.49,5.52 (4.83-6.22),47,63.51,5.42 (4.59-6.24)
oligodendrocytes 20,676,0.39,66.0,110,45,40.91,4.58 (4.01-5.15),65,59.09,5.42 (4.75-6.10)
GABA like neurons 14,1300,0.285,83.0,306,74,24.18,3.96 (3.51-4.41),232,75.82,5.62 (5.33-5.90)
astrocytes 8,283,0.457,100.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708,0.319,89.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204,0.647,99.0,92,4,4.35,3.26 (1.84-4.68),88,95.65,5.84 (5.37-6.31)
connective tissue cells 21,250,0.238,26.0,117,34,29.06,4.15 (3.55-4.75),83,70.94,6.00 (5.57-6.44)
astrocytes 15,418,0.166,55.0,54,9,16.67,4.29 (2.96-5.61),45,83.33,3.56 (3.11-4.01)
oligodendrocytes 16,287,0.143,11.0,105,43,40.95,4.22 (3.64-4.80),62,59.05,6.22 (5.76-6.67)
da neurons 6,398,0.564,99.0,138,48,34.78,3.69 (3.20-4.19),90,65.22,5.53 (5.09-5.97)
astrocytes microglia 23,122,0.339,70.0,46,4,8.7,6.37 (4.86-7.87),42,91.3,4.89 (4.31-5.48)
astrocytes 4,220,0.175,57.0,63,26,41.27,4.63 (3.82-5.43),37,58.73,5.52 (4.76-6.28)
oligodendrocytes 0,479,0.182,70.0,40,14,35.0,5.51 (4.76-6.25),26,65.0,6.14 (5.44-6.84)
microglia 1,127,0.645,99.0,24,10,41.67,5.46 (4.31-6.60),14,58.33,4.85 (4.04-5.65)
oligodendrocytes 3,1003,0.097,52.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,237,0.331,87.0,26,1,3.85,4.70 (NA-NA),25,96.15,5.28 (4.24-6.31)
