tipo_celular,module_size,RBX1_MM,RBX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.174,62.0,71,6,8.45,2.45 (1.41-3.49),65,91.55,2.64 (2.20-3.08)
T cells 18,610,0.142,42.0,98,48,48.98,2.40 (2.03-2.77),50,51.02,3.87 (3.46-4.29)
astrocytes 5,1656,0.063,1.0,136,6,4.41,2.38 (1.28-3.49),130,95.59,3.25 (2.97-3.53)
oligodendrocyte progenitor cells 7,448,0.053,3.0,108,3,2.78,6.60 (5.60-7.60),105,97.22,3.13 (2.70-3.56)
GABA neurons expressing GLU receptors 22,487,0.156,23.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22)
GLU like neurons 17,1247,0.119,38.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220,0.118,24.0,410,29,7.07,3.91 (3.29-4.53),381,92.93,4.28 (4.08-4.48)
GABA neurons expressing GABA receptors 13,417,0.116,16.0,213,34,15.96,2.52 (1.88-3.16),179,84.04,4.05 (3.81-4.29)
endothelial cells 9,916,0.302,72.0,302,8,2.65,5.18 (3.60-6.75),294,97.35,3.94 (3.71-4.16)
oligodendrocytes 20,938,0.327,96.0,169,24,14.2,3.59 (2.87-4.31),145,85.8,3.46 (3.24-3.69)
GABA like neurons 14,2402,0.345,73.0,455,54,11.87,3.34 (2.78-3.90),401,88.13,4.53 (4.34-4.71)
astrocytes 8,47,0.036,11.0,76,0,0.0,NA,76,100.0,4.02 (3.72-4.33)
oligodendrocyte progenitor cells 12,1049,0.136,71.0,235,3,1.28,5.80 (5.23-6.36),232,98.72,3.80 (3.57-4.03)
oligodendrocytes 10,483,0.075,27.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82)
connective tissue cells 21,93,0.353,90.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,418,0.049,26.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16)
oligodendrocytes 16,90,0.22,56.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA)
da neurons 6,729,0.251,89.0,182,4,2.2,2.40 (0.44-4.35),178,97.8,3.67 (3.42-3.92)
astrocytes microglia 23,92,0.435,99.0,11,1,9.09,4.75 (NA-NA),10,90.91,4.31 (3.69-4.92)
astrocytes 4,1807,0.11,6.0,104,33,31.73,2.25 (1.87-2.62),71,68.27,3.18 (2.83-3.54)
oligodendrocytes 0,546,0.142,33.0,252,41,16.27,3.16 (2.46-3.87),211,83.73,4.31 (4.07-4.56)
microglia 1,406,0.084,7.0,278,5,1.8,6.05 (5.19-6.91),273,98.2,4.32 (4.04-4.59)
oligodendrocytes 3,303,0.046,3.0,154,3,1.95,6.68 (5.75-7.62),151,98.05,3.54 (3.23-3.85)
oligodendrocytes 2,526,0.267,51.0,213,11,5.16,6.18 (5.51-6.84),202,94.84,3.84 (3.56-4.11)
