tipo_celular,module_size,TSC1_MM,TSC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.111,16.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.077,2.0,166,31,18.67,2.49 (2.03-2.96),135,81.33,3.65 (3.38-3.93)
oligodendrocyte progenitor cells 7,4285.0,0.162,87.0,353,54,15.3,2.55 (2.07-3.04),299,84.7,4.21 (4.04-4.39)
GABA neurons expressing GLU receptors 22,823.0,0.167,43.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1247.0,0.15,62.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.12,42.0,133,33,24.81,2.29 (1.78-2.81),100,75.19,3.65 (3.30-4.00)
GABA neurons expressing GABA receptors 13,80.0,0.175,59.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.113,39.0,297,4,1.35,4.10 (2.50-5.70),293,98.65,3.67 (3.46-3.87)
oligodendrocytes 20,322.0,0.05,15.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,2090.0,0.146,44.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,577.0,0.05,18.0,83,8,9.64,3.64 (1.66-5.62),75,90.36,3.21 (2.76-3.67)
oligodendrocyte progenitor cells 12,3303.0,0.027,2.0,276,38,13.77,2.61 (2.04-3.18),238,86.23,3.73 (3.51-3.96)
oligodendrocytes 10,806.0,0.07,15.0,261,18,6.9,3.88 (3.38-4.39),243,93.1,4.41 (4.15-4.67)
connective tissue cells 21,88.0,0.276,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.023,3.0,54,6,11.11,3.42 (2.53-4.32),48,88.89,3.72 (3.23-4.21)
oligodendrocytes 16,155.0,0.283,80.0,8,3,37.5,2.05 (-1.04-5.13),5,62.5,3.72 (-3.06-10.50)
da neurons 6,553.0,0.112,38.0,124,2,1.61,2.93 (-2.02-7.87),122,98.39,4.21 (3.82-4.60)
astrocytes microglia 23,131.0,0.258,20.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.139,26.0,61,5,8.2,4.01 (1.70-6.32),56,91.8,2.87 (2.47-3.26)
oligodendrocytes 0,1186.0,0.131,29.0,300,27,9.0,4.32 (3.83-4.81),273,91.0,3.73 (3.51-3.96)
microglia 1,1615.0,0.087,18.0,161,41,25.47,2.55 (1.95-3.16),120,74.53,3.59 (3.33-3.85)
oligodendrocytes 3,357.0,0.064,23.0,127,2,1.57,5.70 (4.70-6.69),125,98.43,3.07 (2.74-3.40)
oligodendrocytes 2,921.0,0.148,69.0,200,13,6.5,4.33 (3.14-5.51),187,93.5,3.56 (3.29-3.83)
