tipo_celular,module_size,TRAPPC12_MM,TRAPPC12_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.093,10.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,624,0.094,10.0,142,8,5.63,4.16 (3.31-5.00),134,94.37,3.14 (2.87-3.42)
astrocytes 5,932,0.11,52.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.135,49.0,353,54,15.3,2.87 (2.45-3.29),299,84.7,4.14 (3.95-4.34)
GABA neurons expressing GLU receptors 22,1069,0.224,86.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,229,0.121,13.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,61,0.36,64.0,3,1,33.33,3.69 (NA-NA),2,66.67,NA
GABA neurons expressing GABA receptors 13,90,0.173,54.0,4,1,25.0,2.24 (NA-NA),3,75.0,6.38 (3.80-8.96)
endothelial cells 9,1653,0.165,76.0,297,9,3.03,3.58 (3.06-4.10),288,96.97,3.68 (3.47-3.89)
oligodendrocytes 20,298,0.247,83.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,0.245,68.0,306,16,5.23,2.16 (1.51-2.81),290,94.77,5.32 (5.07-5.58)
astrocytes 8,1266,0.056,21.0,66,22,33.33,1.83 (1.36-2.30),44,66.67,4.10 (3.70-4.50)
oligodendrocyte progenitor cells 12,3303,0.116,87.0,276,39,14.13,3.03 (2.57-3.50),237,85.87,3.66 (3.41-3.90)
oligodendrocytes 10,2107,0.099,28.0,358,52,14.53,2.52 (2.13-2.91),306,85.47,4.19 (3.99-4.39)
connective tissue cells 21,104,0.265,37.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,338,0.118,25.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,91,0.141,8.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,409,0.115,46.0,235,9,3.83,3.33 (2.62-4.04),226,96.17,4.01 (3.75-4.27)
astrocytes microglia 23,255,0.304,82.0,57,4,7.02,3.01 (2.47-3.54),53,92.98,2.62 (2.23-3.01)
astrocytes 4,251,0.134,26.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186,0.125,22.0,300,16,5.33,3.70 (3.13-4.27),284,94.67,3.80 (3.58-4.01)
microglia 1,813,0.085,11.0,79,2,2.53,3.14 (1.37-4.92),77,97.47,3.10 (2.69-3.51)
oligodendrocytes 3,1003,0.057,9.0,111,2,1.8,4.51 (3.84-5.17),109,98.2,3.28 (2.93-3.63)
oligodendrocytes 2,407,0.128,21.0,122,24,19.67,1.84 (1.36-2.32),98,80.33,3.83 (3.40-4.26)
