tipo_celular,module_size,DNAJC5_MM,DNAJC5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.174,48.0,73,1,1.37,NA,72,98.63,3.56 (3.22-3.91)
T cells 18,349,0.135,31.0,68,8,11.76,1.74 (1.23-2.24),60,88.24,4.85 (4.31-5.39)
astrocytes 5,932,0.107,47.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.122,29.0,353,26,7.37,1.55 (1.17-1.94),327,92.63,4.14 (3.96-4.31)
GABA neurons expressing GLU receptors 22,400,0.145,19.0,24,13,54.17,1.50 (0.92-2.08),11,45.83,2.93 (2.30-3.56)
GLU like neurons 17,1247,0.147,60.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,1220,0.135,31.0,410,31,7.56,3.47 (2.83-4.11),379,92.44,4.32 (4.13-4.51)
GABA neurons expressing GABA receptors 13,238,0.147,38.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,658,0.095,10.0,120,8,6.67,2.79 (2.30-3.28),112,93.33,4.76 (4.44-5.08)
oligodendrocytes 20,358,0.166,56.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090,0.17,61.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,520,0.093,38.0,288,43,14.93,3.70 (3.26-4.14),245,85.07,4.27 (4.05-4.49)
oligodendrocyte progenitor cells 12,3303,0.069,38.0,276,22,7.97,2.24 (1.60-2.88),254,92.03,3.69 (3.47-3.92)
oligodendrocytes 10,806,0.093,24.0,261,30,11.49,3.45 (2.95-3.95),231,88.51,4.49 (4.23-4.75)
connective tissue cells 21,96,0.284,45.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338,0.119,26.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,156,0.2,52.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,553,0.158,69.0,124,3,2.42,2.17 (-1.29-5.63),121,97.58,4.23 (3.84-4.62)
astrocytes microglia 23,96,0.169,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.146,40.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.1,21.0,238,5,2.1,2.23 (1.16-3.31),233,97.9,3.67 (3.45-3.89)
microglia 1,813,0.077,6.0,79,5,6.33,2.64 (2.09-3.20),74,93.67,3.14 (2.71-3.57)
oligodendrocytes 3,357,0.074,33.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,921,0.112,13.0,200,6,3.0,2.00 (1.62-2.38),194,97.0,3.68 (3.41-3.95)
