tipo_celular,module_size,PEBP1_MM,PEBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.341,88.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,282,0.472,97.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,228,0.319,90.0,266,16,6.02,2.06 (1.11-3.00),250,93.98,4.23 (4.03-4.44)
oligodendrocyte progenitor cells 7,296,0.405,95.0,251,2,0.8,NA,249,99.2,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.565,100.0,262,12,4.58,2.37 (1.13-3.61),250,95.42,4.23 (3.98-4.47)
GLU like neurons 17,1316,0.263,100.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.596,100.0,410,11,2.68,3.03 (1.75-4.32),399,97.32,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,238,0.235,79.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.354,92.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,938,0.239,88.0,169,10,5.92,2.43 (0.75-4.11),159,94.08,3.52 (3.30-3.74)
GABA like neurons 14,2402,0.744,100.0,455,19,4.18,1.59 (0.84-2.34),436,95.82,4.46 (4.28-4.64)
astrocytes 8,520,0.406,95.0,288,11,3.82,3.03 (1.75-4.32),277,96.18,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,708,0.156,68.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806,0.605,98.0,261,5,1.92,3.18 (NA-NA),256,98.08,4.37 (4.13-4.61)
connective tissue cells 21,101,0.449,86.0,116,8,6.9,2.40 (1.24-3.56),108,93.1,4.72 (4.30-5.14)
astrocytes 15,1768,0.084,48.0,105,9,8.57,1.68 (1.02-2.35),96,91.43,3.37 (3.02-3.72)
oligodendrocytes 16,313,0.265,65.0,291,2,0.69,0.55 (NA-NA),289,99.31,4.34 (4.12-4.57)
da neurons 6,409,0.097,30.0,235,3,1.28,3.15 (1.26-5.04),232,98.72,3.99 (3.74-4.24)
astrocytes microglia 23,70,0.381,70.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,157,0.306,81.0,178,14,7.87,1.94 (0.80-3.07),164,92.13,4.31 (4.05-4.56)
oligodendrocytes 0,546,0.387,98.0,252,20,7.94,1.77 (1.03-2.50),232,92.06,4.29 (4.05-4.53)
microglia 1,214,0.4,92.0,227,7,3.08,3.80 (3.17-4.43),220,96.92,4.10 (3.86-4.34)
oligodendrocytes 3,127,0.571,97.0,45,1,2.22,0.79 (NA-NA),44,97.78,4.46 (3.62-5.29)
oligodendrocytes 2,526,0.569,97.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
