tipo_celular,module_size,SELENOT_MM,SELENOT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.143,39.0,97,10,10.31,4.01 (3.30-4.71),87,89.69,2.96 (2.54-3.38)
T cells 18,393,0.076,4.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59)
astrocytes 5,1656,0.12,56.0,136,10,7.35,3.01 (2.18-3.84),126,92.65,3.23 (2.94-3.51)
oligodendrocyte progenitor cells 7,628,0.216,75.0,164,8,4.88,3.59 (2.93-4.25),156,95.12,4.12 (3.77-4.47)
GABA neurons expressing GLU receptors 22,400,0.384,96.0,24,13,54.17,1.71 (0.99-2.42),11,45.83,2.69 (2.07-3.30)
GLU like neurons 17,1316,0.218,96.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220,0.196,55.0,410,24,5.85,3.34 (2.88-3.80),386,94.15,4.33 (4.13-4.52)
GABA neurons expressing GABA receptors 13,238,0.157,46.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,338,0.117,44.0,191,2,1.05,2.97 (1.19-4.76),189,98.95,3.90 (3.67-4.12)
oligodendrocytes 20,938,0.082,28.0,169,13,7.69,2.53 (1.80-3.27),156,92.31,3.58 (3.35-3.80)
GABA like neurons 14,2402,0.333,72.0,455,33,7.25,2.58 (2.04-3.12),422,92.75,4.54 (4.35-4.72)
astrocytes 8,520,0.128,55.0,288,26,9.03,3.26 (2.82-3.69),262,90.97,4.29 (4.08-4.51)
oligodendrocyte progenitor cells 12,708,0.114,53.0,32,10,31.25,1.73 (0.80-2.65),22,68.75,4.09 (3.13-5.04)
oligodendrocytes 10,735,0.204,90.0,277,2,0.72,4.47 (NA-NA),275,99.28,3.89 (3.65-4.13)
connective tissue cells 21,301,0.173,4.0,158,6,3.8,2.29 (1.21-3.38),152,96.2,4.35 (3.98-4.72)
astrocytes 15,268,0.076,44.0,10,5,50.0,4.08 (0.62-7.55),5,50.0,3.46 (1.38-5.53)
oligodendrocytes 16,90,0.206,47.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,553,0.111,35.0,124,2,1.61,2.17 (-1.29-5.63),122,98.39,4.23 (3.84-4.62)
astrocytes microglia 23,41,0.454,95.0,2,0,0.0,NA,2,100.0,1.57 (1.57-1.57)
astrocytes 4,1807,0.16,79.0,104,19,18.27,2.28 (1.61-2.95),85,81.73,3.01 (2.70-3.31)
oligodendrocytes 0,613,0.153,58.0,127,15,11.81,2.96 (2.29-3.63),112,88.19,3.07 (2.58-3.56)
microglia 1,813,0.102,31.0,79,8,10.13,3.19 (2.62-3.77),71,89.87,3.09 (2.64-3.54)
oligodendrocytes 3,743,0.131,89.0,76,6,7.89,4.03 (3.51-4.54),70,92.11,3.08 (2.65-3.50)
oligodendrocytes 2,528,0.264,77.0,175,13,7.43,3.19 (2.54-3.84),162,92.57,4.53 (4.15-4.91)
