tipo_celular,module_size,DPP6_MM,DPP6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.382,86.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.249,70.0,68,10,14.71,2.39 (1.45-3.34),58,85.29,4.84 (4.27-5.41)
astrocytes 5,222,0.178,36.0,98,2,2.04,2.33 (-0.69-5.35),96,97.96,4.65 (4.25-5.06)
oligodendrocyte progenitor cells 7,436,0.286,98.0,219,19,8.68,4.44 (4.15-4.72),200,91.32,5.31 (4.99-5.62)
GABA neurons expressing GLU receptors 22,459,0.16,52.0,165,17,10.3,3.35 (2.69-4.01),148,89.7,5.37 (5.01-5.72)
GLU like neurons 17,795,0.54,100.0,80,10,12.5,5.00 (4.03-5.97),70,87.5,5.83 (5.38-6.28)
da like neurons 11,191,0.221,40.0,93,14,15.05,3.86 (3.31-4.41),79,84.95,6.10 (5.69-6.50)
GABA neurons expressing GABA receptors 13,357,0.189,64.0,237,2,0.84,4.45 (3.53-5.36),235,99.16,4.41 (4.17-4.64)
endothelial cells 9,450,0.488,86.0,74,2,2.7,6.60 (3.30-9.90),72,97.3,5.42 (4.85-5.98)
oligodendrocytes 20,676,0.367,63.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,1300,0.249,69.0,306,32,10.46,3.54 (2.90-4.19),274,89.54,5.38 (5.11-5.65)
astrocytes 8,283,0.315,98.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411,0.572,100.0,103,8,7.77,5.24 (4.50-5.99),95,92.23,5.57 (5.16-5.99)
oligodendrocytes 10,204,0.331,26.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,103,0.316,70.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,418,0.287,70.0,54,7,12.96,3.31 (2.56-4.06),47,87.04,3.75 (3.25-4.24)
oligodendrocytes 16,149,0.32,81.0,70,2,2.86,4.92 (4.49-5.34),68,97.14,5.68 (5.19-6.17)
da neurons 6,300,0.223,69.0,159,3,1.89,4.59 (3.77-5.41),156,98.11,4.36 (4.04-4.67)
astrocytes microglia 23,46,0.212,27.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38)
astrocytes 4,251,0.257,91.0,34,2,5.88,4.98 (2.80-7.15),32,94.12,5.27 (4.62-5.93)
oligodendrocytes 0,261,0.155,32.0,42,3,7.14,0.90 (0.75-1.04),39,92.86,4.39 (3.73-5.04)
microglia 1,127,0.294,76.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,127,0.188,23.0,45,3,6.67,1.95 (0.80-3.10),42,93.33,4.62 (3.75-5.50)
oligodendrocytes 2,407,0.165,61.0,122,7,5.74,2.30 (1.29-3.32),115,94.26,3.41 (3.01-3.82)
