tipo_celular,module_size,SF3B1_MM,SF3B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.18,29.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,518,0.109,19.0,131,10,7.63,3.44 (2.82-4.06),121,92.37,3.04 (2.74-3.33)
astrocytes 5,1141,0.14,63.0,166,42,25.3,2.23 (1.91-2.54),124,74.7,3.85 (3.57-4.14)
oligodendrocyte progenitor cells 7,4285,0.127,36.0,353,80,22.66,2.42 (2.12-2.72),273,77.34,4.45 (4.27-4.63)
GABA neurons expressing GLU receptors 22,848,0.177,36.0,262,11,4.2,1.70 (1.06-2.34),251,95.8,4.30 (4.06-4.54)
GLU like neurons 17,300,0.197,58.0,16,7,43.75,2.38 (1.62-3.14),9,56.25,1.86 (0.45-3.27)
da like neurons 11,132,0.134,23.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,357,0.086,8.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,385,0.091,37.0,275,75,27.27,2.37 (2.08-2.66),200,72.73,4.85 (4.59-5.12)
oligodendrocytes 20,228,0.165,37.0,5,3,60.0,1.95 (0.03-3.87),2,40.0,5.21 (1.90-8.51)
GABA like neurons 14,3052,0.118,32.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603,0.073,47.0,89,14,15.73,2.08 (1.40-2.76),75,84.27,2.93 (2.53-3.33)
oligodendrocyte progenitor cells 12,3303,0.13,94.0,276,55,19.93,2.08 (1.88-2.28),221,80.07,4.03 (3.80-4.27)
oligodendrocytes 10,2107,0.123,40.0,358,83,23.18,2.18 (1.95-2.41),275,76.82,4.58 (4.40-4.75)
connective tissue cells 21,142,0.314,47.0,55,7,12.73,1.27 (0.54-1.99),48,87.27,4.13 (3.23-5.04)
astrocytes 15,1768,0.132,84.0,105,30,28.57,1.91 (1.55-2.27),75,71.43,3.72 (3.33-4.10)
oligodendrocytes 16,90,0.141,12.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.15,81.0,122,12,9.84,1.43 (0.73-2.13),110,90.16,4.30 (3.91-4.68)
astrocytes microglia 23,131,0.152,0.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,721,0.17,82.0,61,8,13.11,2.87 (2.28-3.46),53,86.89,2.98 (2.51-3.45)
oligodendrocytes 0,613,0.173,75.0,127,26,20.47,2.44 (2.08-2.79),101,79.53,3.28 (2.74-3.83)
microglia 1,1615,0.12,65.0,161,57,35.4,2.01 (1.75-2.27),104,64.6,4.18 (3.89-4.46)
oligodendrocytes 3,357,0.081,39.0,127,14,11.02,3.69 (3.26-4.13),113,88.98,3.05 (2.69-3.42)
oligodendrocytes 2,921,0.137,49.0,200,18,9.0,3.04 (2.72-3.37),182,91.0,3.68 (3.39-3.97)
