tipo_celular,module_size,CHM_MM,CHM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.202,46.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,518,0.231,87.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1141,0.126,41.0,166,15,9.04,1.77 (1.12-2.41),151,90.96,3.56 (3.31-3.81)
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,33,9.35,1.93 (1.48-2.38),320,90.65,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,567,0.239,68.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,795,0.125,46.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,209,0.167,47.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266,0.123,26.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,586,0.109,21.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,271,0.278,83.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052,0.225,98.0,125,3,2.4,3.09 (2.91-3.26),122,97.6,3.36 (3.03-3.69)
astrocytes 8,771,0.043,8.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,3303,0.11,83.0,276,19,6.88,2.05 (1.60-2.51),257,93.12,3.69 (3.46-3.91)
oligodendrocytes 10,2107,0.071,13.0,358,32,8.94,1.92 (1.46-2.39),326,91.06,4.10 (3.91-4.29)
connective tissue cells 21,85,0.236,18.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,377,0.181,72.0,14,4,28.57,0.80 (0.19-1.40),10,71.43,3.03 (1.31-4.75)
oligodendrocytes 16,121,0.257,80.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,518,0.101,41.0,122,17,13.93,1.97 (1.37-2.56),105,86.07,4.44 (4.04-4.84)
astrocytes microglia 23,37,0.285,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.174,87.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.129,80.0,238,9,3.78,2.54 (1.91-3.16),229,96.22,3.69 (3.46-3.91)
microglia 1,1615,0.111,52.0,161,25,15.53,1.62 (1.16-2.08),136,84.47,3.64 (3.37-3.91)
oligodendrocytes 3,1003,0.101,56.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.153,52.0,84,12,14.29,1.92 (1.14-2.71),72,85.71,2.81 (2.45-3.17)
