tipo_celular,module_size,CUL3_MM,CUL3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.116,20.0,47,2,4.26,3.93 (2.95-4.91),45,95.74,2.51 (2.01-3.01)
T cells 18,624,0.215,88.0,142,18,12.68,4.06 (3.66-4.45),124,87.32,3.08 (2.79-3.38)
astrocytes 5,1141,0.162,86.0,166,66,39.76,2.92 (2.61-3.22),100,60.24,3.74 (3.38-4.10)
oligodendrocyte progenitor cells 7,4285,0.135,51.0,353,101,28.61,2.87 (2.59-3.15),252,71.39,4.41 (4.21-4.62)
GABA neurons expressing GLU receptors 22,203,0.146,8.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,380,0.142,29.0,39,17,43.59,3.47 (3.01-3.93),22,56.41,2.64 (1.81-3.48)
da like neurons 11,59,0.414,85.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73,0.158,46.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.157,72.0,297,35,11.78,4.01 (3.71-4.32),262,88.22,3.63 (3.40-3.86)
oligodendrocytes 20,233,0.136,19.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.202,93.0,125,11,8.8,3.74 (3.12-4.37),114,91.2,3.33 (2.99-3.67)
astrocytes 8,577,0.062,29.0,83,8,9.64,3.39 (1.81-4.97),75,90.36,3.23 (2.77-3.70)
oligodendrocyte progenitor cells 12,3303,0.066,34.0,276,83,30.07,2.87 (2.59-3.15),193,69.93,3.90 (3.62-4.18)
oligodendrocytes 10,2107,0.165,57.0,358,109,30.45,2.80 (2.53-3.06),249,69.55,4.50 (4.29-4.71)
connective tissue cells 21,100,0.214,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768,0.032,4.0,105,43,40.95,2.65 (2.29-3.01),62,59.05,3.66 (3.16-4.16)
oligodendrocytes 16,74,0.149,31.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518,0.136,75.0,122,33,27.05,2.42 (1.96-2.88),89,72.95,4.70 (4.27-5.13)
astrocytes microglia 23,190,0.203,10.0,7,3,42.86,5.26 (3.02-7.51),4,57.14,4.41 (4.05-4.78)
astrocytes 4,752,0.166,69.0,96,30,31.25,3.55 (3.03-4.06),66,68.75,3.18 (2.76-3.59)
oligodendrocytes 0,1186,0.164,82.0,300,43,14.33,4.06 (3.77-4.35),257,85.67,3.75 (3.51-3.98)
microglia 1,958,0.142,85.0,290,44,15.17,3.18 (2.73-3.64),246,84.83,3.94 (3.68-4.19)
oligodendrocytes 3,1003,0.117,69.0,111,7,6.31,3.82 (2.93-4.71),104,93.69,3.28 (2.93-3.64)
oligodendrocytes 2,921,0.122,26.0,200,17,8.5,3.17 (2.67-3.66),183,91.5,3.67 (3.38-3.96)
