tipo_celular,module_size,SNRNP70_MM,SNRNP70_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.103,13.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282,0.178,53.0,12,1,8.33,4.40 (NA-NA),11,91.67,3.20 (1.99-4.41)
astrocytes 5,932,0.108,49.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,200,0.073,7.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,1069,0.079,5.0,37,5,13.51,2.33 (1.74-2.92),32,86.49,2.12 (1.59-2.65)
GLU like neurons 17,229,0.187,42.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,853,0.183,78.0,133,43,32.33,2.03 (1.71-2.36),90,67.67,3.95 (3.58-4.32)
GABA neurons expressing GABA receptors 13,288,0.151,41.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,450,0.097,13.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,330,0.204,59.0,36,17,47.22,2.09 (1.76-2.41),19,52.78,1.77 (1.18-2.36)
GABA like neurons 14,2090,0.117,25.0,74,8,10.81,1.87 (1.58-2.15),66,89.19,3.05 (2.65-3.45)
astrocytes 8,603,0.132,77.0,89,12,13.48,1.50 (1.10-1.90),77,86.52,2.99 (2.61-3.37)
oligodendrocyte progenitor cells 12,708,0.076,29.0,25,3,12.0,4.05 (0.28-7.83),22,88.0,2.67 (1.69-3.65)
oligodendrocytes 10,1277,0.168,80.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,104,0.195,11.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401,0.125,79.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,155,0.157,15.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,398,0.116,32.0,138,13,9.42,2.02 (1.22-2.82),125,90.58,5.14 (4.79-5.50)
astrocytes microglia 23,253,0.241,43.0,47,4,8.51,1.85 (1.23-2.48),43,91.49,2.95 (2.61-3.30)
astrocytes 4,251,0.227,86.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186,0.112,10.0,300,2,0.67,4.51 (0.64-8.39),298,99.33,3.79 (3.58-3.99)
microglia 1,1615,0.086,16.0,161,45,27.95,2.10 (1.65-2.55),116,72.05,3.84 (3.58-4.10)
oligodendrocytes 3,681,0.092,48.0,87,38,43.68,2.05 (1.73-2.37),49,56.32,3.04 (2.67-3.42)
oligodendrocytes 2,407,0.137,29.0,122,43,35.25,2.27 (1.77-2.77),79,64.75,4.19 (3.74-4.64)
