tipo_celular,module_size,SDHC_MM,SDHC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.151,36.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,727,0.13,38.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656,0.082,7.0,136,3,2.21,1.56 (1.00-2.13),133,97.79,3.25 (2.98-3.52)
oligodendrocyte progenitor cells 7,4285,0.125,34.0,353,18,5.1,1.07 (0.77-1.38),335,94.9,4.09 (3.91-4.26)
GABA neurons expressing GLU receptors 22,487,0.171,30.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17)
GLU like neurons 17,1316,0.136,61.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,142,0.162,31.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,238,0.14,32.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.072,14.0,191,1,0.52,3.72 (NA-NA),190,99.48,3.89 (3.66-4.11)
oligodendrocytes 20,938,0.033,5.0,169,47,27.81,3.55 (3.24-3.86),122,72.19,3.45 (3.16-3.74)
GABA like neurons 14,2090,0.107,18.0,74,2,2.7,1.79 (1.09-2.49),72,97.3,2.98 (2.59-3.36)
astrocytes 8,47,0.044,20.0,76,9,11.84,3.91 (3.83-4.00),67,88.16,4.04 (3.69-4.39)
oligodendrocyte progenitor cells 12,3303,0.066,34.0,276,13,4.71,1.92 (1.35-2.50),263,95.29,3.65 (3.43-3.87)
oligodendrocytes 10,735,0.117,61.0,277,18,6.5,3.92 (3.85-3.99),259,93.5,3.89 (3.63-4.16)
connective tissue cells 21,139,0.45,99.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768,0.058,20.0,105,9,8.57,1.17 (0.78-1.57),96,91.43,3.42 (3.08-3.76)
oligodendrocytes 16,64,0.189,47.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,553,0.11,35.0,124,4,3.23,2.37 (0.94-3.80),120,96.77,4.27 (3.87-4.67)
astrocytes microglia 23,57,0.365,75.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.144,48.0,104,10,9.62,1.11 (0.73-1.50),94,90.38,3.07 (2.78-3.35)
oligodendrocytes 0,2078,0.1,22.0,238,2,0.84,0.82 (-0.38-2.02),236,99.16,3.66 (3.45-3.88)
microglia 1,958,0.087,14.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,854,0.063,18.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630,0.122,16.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
