tipo_celular,module_size,NMT1_MM,NMT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.289,92.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282,0.154,34.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,328,0.142,34.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,200,0.082,9.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,848,0.178,36.0,262,7,2.67,2.63 (0.84-4.41),255,97.33,4.22 (3.97-4.46)
GLU like neurons 17,1247,0.127,44.0,51,1,1.96,2.00 (NA-NA),50,98.04,3.66 (3.08-4.25)
da like neurons 11,1220,0.14,34.0,410,7,1.71,3.13 (1.88-4.38),403,98.29,4.27 (4.09-4.46)
GABA neurons expressing GABA receptors 13,265,0.119,27.0,78,2,2.56,2.74 (1.28-4.20),76,97.44,4.41 (4.00-4.83)
endothelial cells 9,916,0.213,52.0,302,2,0.66,0.75 (-0.32-1.81),300,99.34,4.01 (3.79-4.23)
oligodendrocytes 20,938,0.259,91.0,169,7,4.14,2.00 (0.95-3.04),162,95.86,3.56 (3.34-3.78)
GABA like neurons 14,2402,0.417,81.0,455,13,2.86,1.94 (1.11-2.77),442,97.14,4.44 (4.26-4.62)
astrocytes 8,1266,0.16,90.0,66,8,12.12,2.14 (1.25-3.03),58,87.88,3.40 (2.95-3.85)
oligodendrocyte progenitor cells 12,1049,0.149,75.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07)
oligodendrocytes 10,735,0.102,54.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,92,0.227,25.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.129,82.0,96,2,2.08,2.86 (1.17-4.54),94,97.92,3.63 (3.17-4.09)
oligodendrocytes 16,155,0.213,47.0,8,2,25.0,NA,6,75.0,2.72 (-0.13-5.56)
da neurons 6,729,0.198,72.0,182,2,1.1,1.37 (1.27-1.47),180,98.9,3.67 (3.42-3.92)
astrocytes microglia 23,190,0.336,87.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,208,0.101,2.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.122,22.0,252,11,4.37,1.70 (0.85-2.55),241,95.63,4.24 (3.99-4.48)
microglia 1,406,0.076,4.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303,0.107,37.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.255,48.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
