tipo_celular,module_size,VPS35_MM,VPS35_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.189,36.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282,0.297,87.0,241,13,5.39,4.37 (3.45-5.29),228,94.61,4.03 (3.77-4.29)
astrocytes 5,228,0.19,56.0,266,65,24.44,3.35 (2.95-3.75),201,75.56,4.45 (4.22-4.67)
oligodendrocyte progenitor cells 7,296,0.241,74.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.254,66.0,262,54,20.61,3.82 (3.42-4.23),208,79.39,4.28 (3.98-4.58)
GLU like neurons 17,300,0.179,41.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,1220,0.322,85.0,410,61,14.88,3.90 (3.52-4.28),349,85.12,4.33 (4.12-4.54)
GABA neurons expressing GABA receptors 13,357,0.403,98.0,237,18,7.59,5.07 (4.34-5.79),219,92.41,4.34 (4.09-4.58)
endothelial cells 9,338,0.181,68.0,191,21,10.99,4.31 (3.66-4.96),170,89.01,3.82 (3.59-4.06)
oligodendrocytes 20,250,0.13,24.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.487,87.0,455,78,17.14,3.60 (3.18-4.02),377,82.86,4.55 (4.35-4.75)
astrocytes 8,520,0.289,86.0,288,67,23.26,3.91 (3.52-4.30),221,76.74,4.28 (4.05-4.51)
oligodendrocyte progenitor cells 12,3303,0.082,55.0,276,50,18.12,2.78 (2.39-3.17),226,81.88,3.77 (3.52-4.02)
oligodendrocytes 10,806,0.292,78.0,261,39,14.94,3.83 (3.37-4.29),222,85.06,4.48 (4.21-4.76)
connective tissue cells 21,92,0.333,75.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,458,0.074,37.0,36,3,8.33,3.95 (2.83-5.06),33,91.67,3.75 (2.56-4.94)
oligodendrocytes 16,313,0.313,75.0,291,50,17.18,3.86 (3.48-4.25),241,82.82,4.46 (4.19-4.72)
da neurons 6,300,0.311,89.0,159,11,6.92,4.77 (4.18-5.36),148,93.08,4.32 (3.99-4.66)
astrocytes microglia 23,110,0.27,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.116,6.0,178,42,23.6,3.18 (2.63-3.73),136,76.4,4.52 (4.24-4.79)
oligodendrocytes 0,2078,0.095,15.0,238,19,7.98,3.79 (2.92-4.65),219,92.02,3.62 (3.39-3.85)
microglia 1,214,0.146,35.0,227,22,9.69,3.92 (3.46-4.38),205,90.31,4.11 (3.85-4.37)
oligodendrocytes 3,457,0.186,77.0,345,63,18.26,3.99 (3.61-4.37),282,81.74,4.36 (4.11-4.61)
oligodendrocytes 2,99,0.196,37.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26)
