tipo_celular,module_size,EIF3H_MM,EIF3H_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.211,88.0,71,5,7.04,2.10 (0.69-3.51),66,92.96,2.66 (2.23-3.09)
T cells 18,610,0.253,96.0,98,27,27.55,2.38 (1.83-2.93),71,72.45,3.44 (3.09-3.80)
astrocytes 5,1656,0.118,53.0,136,11,8.09,2.43 (1.66-3.20),125,91.91,3.29 (3.00-3.57)
oligodendrocyte progenitor cells 7,4285,0.157,82.0,353,57,16.15,2.71 (2.31-3.11),296,83.85,4.19 (4.00-4.38)
GABA neurons expressing GLU receptors 22,487,0.284,73.0,73,8,10.96,2.41 (1.61-3.21),65,89.04,2.80 (2.38-3.23)
GLU like neurons 17,685,0.152,61.0,135,36,26.67,2.51 (2.02-3.00),99,73.33,3.45 (3.09-3.82)
da like neurons 11,197,0.191,46.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417,0.066,1.0,213,49,23.0,2.95 (2.50-3.40),164,77.0,4.05 (3.78-4.33)
endothelial cells 9,559,0.086,16.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,403,0.194,76.0,18,9,50.0,1.53 (0.72-2.33),9,50.0,2.23 (1.14-3.32)
GABA like neurons 14,2402,0.163,29.0,455,66,14.51,3.65 (3.12-4.18),389,85.49,4.49 (4.30-4.68)
astrocytes 8,727,0.05,10.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.118,88.0,276,42,15.22,2.64 (2.21-3.07),234,84.78,3.75 (3.51-3.99)
oligodendrocytes 10,2107,0.14,48.0,358,54,15.08,2.42 (2.02-2.82),304,84.92,4.21 (4.02-4.40)
connective tissue cells 21,139,0.334,66.0,4,3,75.0,3.51 (1.72-5.30),1,25.0,3.52 (NA-NA)
astrocytes 15,1768,0.116,76.0,105,33,31.43,2.69 (2.12-3.26),72,68.57,3.48 (3.08-3.88)
oligodendrocytes 16,121,0.297,89.0,8,1,12.5,NA,7,87.5,0.99 (0.10-1.89)
da neurons 6,409,0.119,48.0,235,11,4.68,2.60 (1.90-3.29),224,95.32,4.07 (3.81-4.33)
astrocytes microglia 23,134,0.287,36.0,2,1,50.0,3.34 (NA-NA),1,50.0,0.82 (NA-NA)
astrocytes 4,787,0.156,59.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078,0.11,42.0,238,12,5.04,3.24 (2.33-4.14),226,94.96,3.66 (3.43-3.88)
microglia 1,813,0.138,71.0,79,4,5.06,3.03 (2.29-3.78),75,94.94,3.11 (2.68-3.53)
oligodendrocytes 3,681,0.092,48.0,87,25,28.74,2.12 (1.68-2.56),62,71.26,2.79 (2.47-3.12)
oligodendrocytes 2,921,0.15,72.0,200,11,5.5,3.32 (2.48-4.17),189,94.5,3.64 (3.36-3.92)
