tipo_celular,module_size,USF2_MM,USF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.178,34.0,98,7,7.14,1.34 (1.06-1.61),91,92.86,3.43 (2.93-3.92)
T cells 18,506,0.115,16.0,225,11,4.89,1.86 (1.03-2.70),214,95.11,3.74 (3.49-3.99)
astrocytes 5,932,0.091,23.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.113,20.0,353,48,13.6,1.89 (1.63-2.15),305,86.4,4.32 (4.14-4.49)
GABA neurons expressing GLU receptors 22,192,0.108,35.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1247,0.076,12.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220,0.095,13.0,410,2,0.49,3.26 (-2.06-8.58),408,99.51,4.25 (4.07-4.44)
GABA neurons expressing GABA receptors 13,67,0.121,14.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916,0.093,13.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22)
oligodendrocytes 20,938,0.058,16.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2402,0.191,38.0,455,20,4.4,1.58 (0.97-2.19),435,95.6,4.52 (4.34-4.70)
astrocytes 8,603,0.084,55.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,1049,0.067,32.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,483,0.104,45.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,136,0.376,86.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1401,0.04,8.0,96,6,6.25,1.77 (1.58-1.95),90,93.75,3.74 (3.27-4.20)
oligodendrocytes 16,90,0.296,86.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,553,0.097,26.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,58,0.35,79.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.16,78.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,2078,0.096,16.0,238,14,5.88,2.57 (1.96-3.18),224,94.12,3.72 (3.49-3.94)
microglia 1,406,0.065,2.0,278,2,0.72,3.80 (3.74-3.85),276,99.28,4.37 (4.09-4.64)
oligodendrocytes 3,743,0.083,53.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.166,92.0,154,2,1.3,5.50 (0.04-10.95),152,98.7,3.21 (2.95-3.47)
