tipo_celular,module_size,TPR_MM,TPR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.11,15.0,102,40,39.22,2.62 (2.21-3.04),62,60.78,4.06 (3.58-4.55)
T cells 18,518,0.175,64.0,131,10,7.63,3.77 (3.13-4.41),121,92.37,3.02 (2.72-3.31)
astrocytes 5,1141,0.118,31.0,166,51,30.72,2.73 (2.35-3.12),115,69.28,3.76 (3.45-4.06)
oligodendrocyte progenitor cells 7,4285,0.169,93.0,353,110,31.16,2.96 (2.64-3.27),243,68.84,4.46 (4.28-4.65)
GABA neurons expressing GLU receptors 22,567,0.178,45.0,16,6,37.5,2.88 (1.99-3.78),10,62.5,1.47 (0.71-2.22)
GLU like neurons 17,795,0.09,24.0,80,2,2.5,4.43 (4.17-4.69),78,97.5,5.73 (5.30-6.15)
da like neurons 11,142,0.285,66.0,2,1,50.0,NA,1,50.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,65,0.188,61.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,385,0.085,27.0,275,95,34.55,2.92 (2.55-3.28),180,65.45,4.77 (4.49-5.06)
oligodendrocytes 20,322,0.105,41.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,3052,0.081,9.0,125,6,4.8,4.93 (4.18-5.68),119,95.2,3.25 (2.92-3.58)
astrocytes 8,218,0.047,20.0,9,1,11.11,4.17 (NA-NA),8,88.89,1.87 (1.01-2.73)
oligodendrocyte progenitor cells 12,708,0.075,28.0,25,3,12.0,1.22 (-0.77-3.20),22,88.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107,0.126,41.0,358,130,36.31,2.99 (2.69-3.28),228,63.69,4.52 (4.32-4.72)
connective tissue cells 21,103,0.248,30.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,1401,0.11,71.0,96,21,21.88,3.60 (2.90-4.29),75,78.12,3.62 (3.06-4.17)
oligodendrocytes 16,94,0.166,27.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,518,0.131,70.0,122,29,23.77,2.35 (1.86-2.84),93,76.23,4.69 (4.27-5.11)
astrocytes microglia 23,42,0.473,100.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.163,72.0,65,2,3.08,2.85 (NA-NA),63,96.92,2.96 (2.56-3.37)
oligodendrocytes 0,1186,0.14,42.0,300,39,13.0,3.96 (3.66-4.26),261,87.0,3.76 (3.52-4.00)
microglia 1,958,0.105,41.0,290,72,24.83,4.05 (3.61-4.48),218,75.17,3.73 (3.46-4.00)
oligodendrocytes 3,357,0.092,48.0,127,14,11.02,5.75 (5.24-6.26),113,88.98,2.86 (2.55-3.18)
oligodendrocytes 2,921,0.134,42.0,200,40,20.0,4.06 (3.56-4.55),160,80.0,3.51 (3.20-3.82)
