tipo_celular,module_size,HSPA9_MM,HSPA9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.177,33.0,21,13,61.9,1.52 (0.98-2.06),8,38.1,3.76 (3.13-4.38)
T cells 18,282,0.199,64.0,241,18,7.47,3.96 (3.31-4.61),223,92.53,4.06 (3.80-4.33)
astrocytes 5,423,0.342,96.0,80,3,3.75,4.76 (0.65-8.86),77,96.25,3.34 (2.88-3.80)
oligodendrocyte progenitor cells 7,666,0.279,90.0,127,26,20.47,3.40 (2.02-4.77),101,79.53,3.90 (3.56-4.23)
GABA neurons expressing GLU receptors 22,848,0.232,59.0,262,37,14.12,3.01 (2.42-3.59),225,85.88,4.32 (4.06-4.58)
GLU like neurons 17,1316,0.148,71.0,101,6,5.94,2.92 (2.04-3.80),95,94.06,3.06 (2.69-3.43)
da like neurons 11,1220,0.253,71.0,410,61,14.88,3.52 (3.09-3.95),349,85.12,4.38 (4.17-4.58)
GABA neurons expressing GABA receptors 13,357,0.266,84.0,237,10,4.22,3.92 (3.44-4.41),227,95.78,4.43 (4.19-4.67)
endothelial cells 9,385,0.181,87.0,275,66,24.0,2.64 (2.13-3.14),209,76.0,4.38 (4.12-4.65)
oligodendrocytes 20,250,0.141,28.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.281,62.0,455,72,15.82,2.58 (2.16-3.01),383,84.18,4.68 (4.50-4.86)
astrocytes 8,577,0.24,96.0,83,4,4.82,4.16 (1.00-7.31),79,95.18,3.19 (2.75-3.63)
oligodendrocyte progenitor cells 12,3303,0.071,40.0,276,38,13.77,2.10 (1.76-2.44),238,86.23,3.84 (3.61-4.07)
oligodendrocytes 10,735,0.247,95.0,277,7,2.53,4.11 (3.06-5.15),270,97.47,3.89 (3.65-4.14)
connective tissue cells 21,111,0.28,46.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,443,0.098,11.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.224,53.0,291,39,13.4,3.59 (3.06-4.11),252,86.6,4.44 (4.20-4.68)
da neurons 6,300,0.245,76.0,159,5,3.14,3.24 (NA-NA),154,96.86,4.37 (4.06-4.68)
astrocytes microglia 23,327,0.407,78.0,120,41,34.17,3.12 (2.45-3.80),79,65.83,3.83 (3.52-4.14)
astrocytes 4,514,0.479,98.0,95,6,6.32,3.19 (0.25-6.12),89,93.68,3.38 (2.98-3.79)
oligodendrocytes 0,613,0.189,85.0,127,15,11.81,3.13 (2.44-3.81),112,88.19,3.04 (2.57-3.51)
microglia 1,958,0.141,84.0,290,29,10.0,2.91 (2.28-3.54),261,90.0,3.92 (3.68-4.17)
oligodendrocytes 3,457,0.09,35.0,345,45,13.04,3.45 (3.00-3.91),300,86.96,4.40 (4.17-4.62)
oligodendrocytes 2,528,0.188,43.0,175,36,20.57,4.05 (3.26-4.83),139,79.43,4.43 (4.05-4.82)
