tipo_celular,module_size,CAST_MM,CAST_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.146,42.0,71,2,2.82,0.97 (-0.53-2.48),69,97.18,2.68 (2.26-3.09)
T cells 18,393,0.121,28.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,322,0.18,53.0,58,5,8.62,4.48 (2.33-6.62),53,91.38,4.14 (3.72-4.56)
oligodendrocyte progenitor cells 7,666,0.182,62.0,127,10,7.87,3.30 (2.06-4.54),117,92.13,3.89 (3.55-4.24)
GABA neurons expressing GLU receptors 22,203,0.33,73.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316,0.125,52.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,137,0.319,64.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,88,0.143,46.0,2,1,50.0,NA,1,50.0,NA
endothelial cells 9,586,0.139,32.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,250,0.148,33.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052,0.132,43.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.161,77.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,708,0.086,35.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107,0.042,4.0,358,40,11.17,1.88 (1.50-2.26),318,88.83,4.21 (4.03-4.39)
connective tissue cells 21,85,0.189,6.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1401,0.144,87.0,96,3,3.12,2.76 (0.97-4.55),93,96.88,3.63 (3.18-4.09)
oligodendrocytes 16,90,0.212,60.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.057,3.0,182,4,2.2,1.44 (1.34-1.53),178,97.8,3.70 (3.45-3.95)
astrocytes microglia 23,253,0.315,86.0,47,6,12.77,2.52 (1.61-3.44),41,87.23,2.90 (2.54-3.26)
astrocytes 4,514,0.28,82.0,95,5,5.26,1.90 (0.36-3.44),90,94.74,3.48 (3.05-3.91)
oligodendrocytes 0,1186,0.148,57.0,300,5,1.67,3.74 (3.00-4.49),295,98.33,3.79 (3.58-4.00)
microglia 1,1615,0.101,36.0,161,28,17.39,1.66 (1.23-2.09),133,82.61,3.71 (3.44-3.97)
oligodendrocytes 3,854,0.113,74.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,921,0.108,10.0,200,6,3.0,2.86 (1.83-3.89),194,97.0,3.65 (3.38-3.92)
