tipo_celular,module_size,ACER3_MM,ACER3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.147,16.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,349,0.205,58.0,68,5,7.35,2.38 (0.59-4.17),63,92.65,4.58 (4.02-5.14)
astrocytes 5,165,0.189,50.0,51,1,1.96,NA,50,98.04,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,448,0.159,65.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,599,0.227,61.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.145,69.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,408,0.141,40.0,25,4,16.0,0.74 (0.41-1.07),21,84.0,5.58 (4.35-6.82)
GABA neurons expressing GABA receptors 13,93,0.315,100.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,658,0.177,40.0,120,9,7.5,3.68 (3.18-4.18),111,92.5,4.69 (4.36-5.03)
oligodendrocytes 20,676,0.584,87.0,110,9,8.18,2.52 (1.50-3.53),101,91.82,5.31 (4.88-5.75)
GABA like neurons 14,3052,0.196,90.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.327,84.0,48,4,8.33,0.79 (NA-NA),44,91.67,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,138,0.545,95.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,236,0.47,45.0,82,4,4.88,3.45 (2.71-4.20),78,95.12,5.10 (4.55-5.64)
connective tissue cells 21,106,0.238,24.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,261,0.224,82.0,8,3,37.5,1.32 (-0.64-3.28),5,62.5,5.45 (3.66-7.23)
oligodendrocytes 16,153,0.463,90.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.183,61.0,138,11,7.97,1.89 (1.10-2.68),127,92.03,5.13 (4.78-5.48)
astrocytes microglia 23,229,0.208,18.0,99,4,4.04,2.97 (2.40-3.54),95,95.96,4.36 (4.02-4.70)
astrocytes 4,721,0.146,40.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,261,0.211,68.0,42,6,14.29,1.90 (0.67-3.13),36,85.71,4.56 (3.88-5.24)
microglia 1,346,0.223,82.0,43,4,9.3,3.90 (2.74-5.05),39,90.7,3.76 (3.21-4.30)
oligodendrocytes 3,116,0.313,86.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,348,0.176,41.0,114,6,5.26,3.52 (2.74-4.29),108,94.74,5.24 (4.82-5.67)
