tipo_celular,module_size,BIRC6_MM,BIRC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.107,15.0,71,2,2.82,1.71 (-1.24-4.67),69,97.18,2.65 (2.24-3.07)
T cells 18,388,0.112,26.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30)
astrocytes 5,118,0.201,36.0,8,2,25.0,5.21 (5.21-5.21),6,75.0,3.83 (1.50-6.17)
oligodendrocyte progenitor cells 7,448,0.044,1.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,459,0.168,55.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62)
GLU like neurons 17,795,0.13,50.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15)
da like neurons 11,102,0.478,99.0,8,3,37.5,2.36 (0.98-3.74),5,62.5,NA
GABA neurons expressing GABA receptors 13,288,0.239,74.0,93,5,5.38,1.79 (0.68-2.89),88,94.62,5.40 (4.93-5.87)
endothelial cells 9,1653,0.235,97.0,297,14,4.71,3.71 (3.11-4.31),283,95.29,3.67 (3.46-3.88)
oligodendrocytes 20,676,0.651,93.0,110,6,5.45,2.31 (0.61-4.01),104,94.55,5.18 (4.74-5.61)
GABA like neurons 14,1300,0.199,47.0,306,24,7.84,2.73 (2.21-3.25),282,92.16,5.40 (5.15-5.66)
astrocytes 8,279,0.145,8.0,78,9,11.54,2.55 (2.14-2.96),69,88.46,4.59 (4.16-5.02)
oligodendrocyte progenitor cells 12,254,0.215,33.0,37,6,16.22,2.96 (2.49-3.43),31,83.78,4.86 (4.23-5.50)
oligodendrocytes 10,236,0.265,7.0,82,4,4.88,3.24 (2.72-3.75),78,95.12,5.11 (4.57-5.65)
connective tissue cells 21,145,0.127,0.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268,0.288,89.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38)
oligodendrocytes 16,153,0.413,70.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.191,64.0,138,20,14.49,2.44 (1.90-2.97),118,85.51,5.32 (4.96-5.68)
astrocytes microglia 23,99,0.134,0.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,752,0.138,28.0,96,12,12.5,3.30 (2.25-4.35),84,87.5,3.29 (2.94-3.64)
oligodendrocytes 0,261,0.225,78.0,42,8,19.05,1.98 (0.92-3.05),34,80.95,4.75 (4.10-5.41)
microglia 1,315,0.107,16.0,144,2,1.39,2.15 (1.11-3.19),142,98.61,4.50 (4.19-4.80)
oligodendrocytes 3,116,0.305,80.0,7,3,42.86,0.96 (0.79-1.12),4,57.14,5.55 (4.15-6.96)
oligodendrocytes 2,237,0.181,31.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
