tipo_celular,module_size,PRDM2_MM,PRDM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.136,8.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,727,0.241,97.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.118,31.0,166,38,22.89,2.36 (2.02-2.70),128,77.11,3.79 (3.50-4.07)
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,55,15.58,2.13 (1.85-2.41),298,84.42,4.34 (4.16-4.52)
GABA neurons expressing GLU receptors 22,400,0.201,52.0,24,6,25.0,0.51 (0.32-0.70),18,75.0,2.70 (2.26-3.14)
GLU like neurons 17,1316,0.147,70.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,853,0.124,45.0,133,52,39.1,2.33 (2.01-2.65),81,60.9,4.04 (3.62-4.46)
GABA neurons expressing GABA receptors 13,288,0.152,42.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,1653,0.112,37.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,348,0.129,50.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22)
GABA like neurons 14,3052,0.11,25.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.075,28.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303,0.11,83.0,276,43,15.58,2.08 (1.85-2.32),233,84.42,3.92 (3.68-4.15)
oligodendrocytes 10,2107,0.184,64.0,358,67,18.72,2.24 (1.96-2.52),291,81.28,4.41 (4.22-4.60)
connective tissue cells 21,139,0.296,44.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768,0.1,63.0,105,17,16.19,1.53 (1.18-1.89),88,83.81,3.57 (3.22-3.92)
oligodendrocytes 16,66,0.234,57.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.121,69.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,255,0.264,55.0,57,4,7.02,2.80 (2.10-3.51),53,92.98,2.64 (2.25-3.03)
astrocytes 4,721,0.158,64.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.122,19.0,300,12,4.0,3.60 (3.21-3.99),288,96.0,3.80 (3.59-4.02)
microglia 1,1615,0.104,42.0,161,54,33.54,2.12 (1.84-2.40),107,66.46,4.07 (3.77-4.37)
oligodendrocytes 3,639,0.077,33.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804,0.125,19.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
