tipo_celular,module_size,DNAJA1_MM,DNAJA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.2,72.0,97,7,7.22,4.37 (2.96-5.77),90,92.78,2.93 (2.53-3.33)
T cells 18,477,0.188,67.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22)
astrocytes 5,228,0.178,51.0,266,46,17.29,3.32 (2.74-3.89),220,82.71,4.28 (4.07-4.50)
oligodendrocyte progenitor cells 7,666,0.498,98.0,127,57,44.88,4.10 (3.50-4.71),70,55.12,3.61 (3.26-3.96)
GABA neurons expressing GLU receptors 22,848,0.325,80.0,262,48,18.32,4.04 (3.50-4.57),214,81.68,4.19 (3.91-4.47)
GLU like neurons 17,685,0.14,56.0,135,59,43.7,3.20 (2.74-3.67),76,56.3,3.18 (2.77-3.58)
da like neurons 11,1220,0.347,88.0,410,62,15.12,4.35 (3.88-4.83),348,84.88,4.23 (4.02-4.43)
GABA neurons expressing GABA receptors 13,265,0.246,83.0,78,14,17.95,3.91 (3.18-4.65),64,82.05,4.49 (4.01-4.98)
endothelial cells 9,385,0.409,99.0,275,67,24.36,3.00 (2.48-3.52),208,75.64,4.31 (4.03-4.59)
oligodendrocytes 20,938,0.205,82.0,169,33,19.53,3.56 (2.93-4.19),136,80.47,3.46 (3.23-3.70)
GABA like neurons 14,2402,0.48,87.0,455,74,16.26,3.89 (3.33-4.46),381,83.74,4.43 (4.24-4.62)
astrocytes 8,520,0.225,74.0,288,37,12.85,3.45 (2.96-3.94),251,87.15,4.28 (4.06-4.49)
oligodendrocyte progenitor cells 12,1049,0.136,71.0,235,24,10.21,4.89 (3.91-5.86),211,89.79,3.73 (3.50-3.96)
oligodendrocytes 10,806,0.303,79.0,261,23,8.81,3.29 (2.64-3.95),238,91.19,4.46 (4.21-4.71)
connective tissue cells 21,142,0.329,55.0,55,19,34.55,3.43 (1.95-4.92),36,65.45,3.40 (2.46-4.35)
astrocytes 15,443,0.223,89.0,9,7,77.78,3.73 (2.40-5.05),2,22.22,1.89 (-1.31-5.09)
oligodendrocytes 16,313,0.185,35.0,291,36,12.37,4.20 (3.57-4.84),255,87.63,4.34 (4.10-4.58)
da neurons 6,409,0.285,93.0,235,18,7.66,4.19 (3.25-5.14),217,92.34,3.96 (3.70-4.22)
astrocytes microglia 23,327,0.395,76.0,120,56,46.67,3.27 (2.76-3.77),64,53.33,3.94 (3.61-4.26)
astrocytes 4,514,0.266,79.0,95,19,20.0,4.55 (3.15-5.95),76,80.0,3.09 (2.72-3.46)
oligodendrocytes 0,613,0.274,98.0,127,23,18.11,3.36 (2.50-4.21),104,81.89,2.97 (2.50-3.45)
microglia 1,958,0.184,97.0,290,44,15.17,3.48 (2.90-4.06),246,84.83,3.87 (3.63-4.12)
oligodendrocytes 3,457,0.198,81.0,345,52,15.07,4.37 (3.90-4.84),293,84.93,4.25 (4.02-4.49)
oligodendrocytes 2,528,0.343,90.0,175,35,20.0,4.21 (3.53-4.89),140,80.0,4.42 (4.02-4.83)
