tipo_celular,module_size,SSBP3_MM,SSBP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,125,0.166,22.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA)
T cells 18,349,0.152,39.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,932,0.109,50.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,666,0.118,16.0,127,5,3.94,1.31 (0.80-1.82),122,96.06,3.99 (3.66-4.32)
GABA neurons expressing GLU receptors 22,714,0.222,70.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795,0.041,2.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,200,0.207,59.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,238,0.094,9.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,303,0.383,87.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,279,0.128,17.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090,0.221,87.0,74,13,17.57,2.22 (1.97-2.48),61,82.43,3.12 (2.67-3.58)
astrocytes 8,771,0.057,17.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,3303,0.11,83.0,276,34,12.32,1.94 (1.70-2.19),242,87.68,3.85 (3.62-4.08)
oligodendrocytes 10,2107,0.088,22.0,358,47,13.13,1.85 (1.58-2.12),311,86.87,4.30 (4.11-4.48)
connective tissue cells 21,139,0.177,4.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,1401,0.082,46.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,156,0.127,2.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,228,0.129,73.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,61,0.249,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.156,59.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.128,26.0,300,6,2.0,3.24 (2.99-3.49),294,98.0,3.81 (3.60-4.02)
microglia 1,958,0.114,55.0,290,5,1.72,1.31 (0.80-1.82),285,98.28,3.87 (3.64-4.10)
oligodendrocytes 3,242,0.161,64.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347,0.247,70.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
