tipo_celular,module_size,YWHAB_MM,YWHAB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.173,51.0,140,3,2.14,2.00 (NA-NA),137,97.86,4.53 (4.11-4.96)
T cells 18,282,0.282,86.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,228,0.384,94.0,266,27,10.15,2.61 (1.91-3.32),239,89.85,4.25 (4.04-4.46)
oligodendrocyte progenitor cells 7,296,0.337,91.0,251,1,0.4,NA,250,99.6,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.597,100.0,262,17,6.49,2.78 (1.53-4.03),245,93.51,4.22 (3.97-4.47)
GLU like neurons 17,1316,0.25,99.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.499,97.0,410,17,4.15,3.37 (2.51-4.22),393,95.85,4.27 (4.08-4.47)
GABA neurons expressing GABA receptors 13,265,0.132,36.0,78,2,2.56,2.74 (1.28-4.20),76,97.44,4.41 (4.00-4.83)
endothelial cells 9,338,0.218,75.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,330,0.049,11.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2402,0.648,97.0,455,18,3.96,2.27 (1.27-3.27),437,96.04,4.41 (4.23-4.60)
astrocytes 8,520,0.43,97.0,288,20,6.94,3.10 (2.40-3.81),268,93.06,4.23 (4.02-4.43)
oligodendrocyte progenitor cells 12,3303,0.119,89.0,276,7,2.54,1.28 (0.71-1.85),269,97.46,3.60 (3.38-3.81)
oligodendrocytes 10,806,0.499,96.0,261,9,3.45,2.68 (1.40-3.97),252,96.55,4.40 (4.16-4.64)
connective tissue cells 21,301,0.461,72.0,158,5,3.16,3.01 (1.17-4.85),153,96.84,4.30 (3.93-4.67)
astrocytes 15,443,0.146,44.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.414,88.0,291,9,3.09,2.66 (1.67-3.66),282,96.91,4.37 (4.15-4.60)
da neurons 6,409,0.104,36.0,235,2,0.85,4.11 (3.81-4.41),233,99.15,3.97 (3.72-4.23)
astrocytes microglia 23,122,0.217,5.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,157,0.304,79.0,178,20,11.24,2.60 (1.81-3.39),158,88.76,4.34 (4.07-4.61)
oligodendrocytes 0,116,0.186,60.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57)
microglia 1,214,0.31,82.0,227,11,4.85,3.36 (2.46-4.26),216,95.15,4.12 (3.88-4.36)
oligodendrocytes 3,457,0.287,92.0,345,21,6.09,3.60 (3.02-4.19),324,93.91,4.31 (4.10-4.53)
oligodendrocytes 2,528,0.314,87.0,175,15,8.57,3.55 (2.71-4.40),160,91.43,4.43 (4.07-4.80)
