tipo_celular,module_size,DDX24_MM,DDX24_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.205,62.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,506,0.171,45.0,225,7,3.11,1.74 (0.83-2.65),218,96.89,3.69 (3.44-3.94)
astrocytes 5,228,0.179,52.0,266,8,3.01,1.51 (0.51-2.52),258,96.99,4.22 (4.02-4.42)
oligodendrocyte progenitor cells 7,296,0.288,85.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.301,76.0,262,7,2.67,1.63 (0.55-2.70),255,97.33,4.26 (4.01-4.50)
GLU like neurons 17,1247,0.152,63.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220,0.379,91.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45)
GABA neurons expressing GABA receptors 13,265,0.261,86.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,916,0.207,50.0,302,2,0.66,0.75 (-0.32-1.81),300,99.34,4.01 (3.79-4.23)
oligodendrocytes 20,298,0.072,28.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.56,93.0,455,18,3.96,1.49 (0.95-2.03),437,96.04,4.51 (4.33-4.69)
astrocytes 8,520,0.287,85.0,288,4,1.39,2.28 (0.68-3.89),284,98.61,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 12,1049,0.126,66.0,235,2,0.85,2.85 (-0.20-5.89),233,99.15,3.83 (3.60-4.07)
oligodendrocytes 10,806,0.344,85.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,301,0.354,47.0,158,3,1.9,1.11 (0.53-1.69),155,98.1,4.34 (3.98-4.71)
astrocytes 15,1768,0.083,47.0,105,14,13.33,1.58 (1.12-2.03),91,86.67,3.49 (3.14-3.84)
oligodendrocytes 16,313,0.351,81.0,291,2,0.69,2.31 (-1.14-5.75),289,99.31,4.34 (4.12-4.57)
da neurons 6,409,0.256,89.0,235,6,2.55,1.65 (1.07-2.22),229,97.45,4.06 (3.81-4.31)
astrocytes microglia 23,127,0.343,70.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,157,0.17,42.0,178,6,3.37,1.15 (-0.02-2.33),172,96.63,4.29 (4.03-4.54)
oligodendrocytes 0,546,0.163,46.0,252,17,6.75,1.47 (0.92-2.01),235,93.25,4.35 (4.11-4.58)
microglia 1,214,0.214,60.0,227,2,0.88,2.68 (-0.04-5.40),225,99.12,4.11 (3.87-4.34)
oligodendrocytes 3,357,0.158,83.0,127,1,0.79,4.40 (NA-NA),126,99.21,3.11 (2.77-3.44)
oligodendrocytes 2,526,0.311,65.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
