tipo_celular,module_size,SECISBP2L_MM,SECISBP2L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.286,79.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.183,50.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,1141,0.103,16.0,166,12,7.23,1.46 (1.00-1.91),154,92.77,3.56 (3.31-3.81)
oligodendrocyte progenitor cells 7,4285,0.151,74.0,353,25,7.08,1.90 (1.39-2.42),328,92.92,4.07 (3.89-4.26)
GABA neurons expressing GLU receptors 22,400,0.169,31.0,24,2,8.33,1.38 (0.23-2.52),22,91.67,2.23 (1.69-2.77)
GLU like neurons 17,637,0.129,37.0,91,2,2.2,1.08 (-0.63-2.78),89,97.8,4.64 (4.13-5.16)
da like neurons 11,204,0.188,51.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,238,0.155,45.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,450,0.203,47.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.091,33.0,110,3,2.73,0.90 (0.75-1.04),107,97.27,5.16 (4.73-5.58)
GABA like neurons 14,3052,0.111,27.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,771,0.327,84.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.303,87.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236,0.592,76.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,100,0.318,60.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458,0.157,76.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.496,98.0,105,3,2.86,0.90 (0.75-1.04),102,97.14,5.26 (4.85-5.68)
da neurons 6,398,0.134,43.0,138,4,2.9,0.81 (0.61-1.01),134,97.1,4.97 (4.61-5.32)
astrocytes microglia 23,70,0.245,14.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,721,0.151,48.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,261,0.221,76.0,42,3,7.14,0.90 (0.75-1.04),39,92.86,4.39 (3.73-5.04)
microglia 1,127,0.101,13.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,99,0.335,93.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,528,0.117,6.0,175,2,1.14,5.25 (5.08-5.42),173,98.86,4.36 (4.01-4.72)
