tipo_celular,module_size,CADM2_MM,CADM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.601,96.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.519,94.0,68,3,4.41,4.25 (0.88-7.63),65,95.59,4.38 (3.81-4.94)
astrocytes 5,222,0.342,90.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00)
oligodendrocyte progenitor cells 7,436,0.164,70.0,219,7,3.2,6.77 (5.43-8.12),212,96.8,5.15 (4.86-5.44)
GABA neurons expressing GLU receptors 22,567,0.216,62.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,795,0.355,97.0,80,4,5.0,5.11 (2.19-8.04),76,95.0,5.72 (5.33-6.12)
da like neurons 11,191,0.464,88.0,93,8,8.6,4.51 (2.54-6.49),85,91.4,5.78 (5.39-6.16)
GABA neurons expressing GABA receptors 13,288,0.175,52.0,93,5,5.38,4.97 (2.69-7.25),88,94.62,5.16 (4.65-5.67)
endothelial cells 9,450,0.707,98.0,74,3,4.05,7.70 (7.70-7.70),71,95.95,5.32 (4.76-5.88)
oligodendrocytes 20,676,0.283,52.0,110,2,1.82,6.04 (2.80-9.28),108,98.18,4.96 (4.51-5.42)
GABA like neurons 14,1300,0.197,46.0,306,11,3.59,4.72 (2.86-6.58),295,96.41,5.11 (4.85-5.37)
astrocytes 8,354,0.374,100.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708,0.086,36.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,204,0.594,96.0,92,6,6.52,4.52 (2.46-6.59),86,93.48,5.82 (5.34-6.29)
connective tissue cells 21,250,0.794,98.0,117,5,4.27,3.13 (1.83-4.42),112,95.73,5.51 (5.12-5.91)
astrocytes 15,418,0.178,56.0,54,2,3.7,4.49 (-1.78-10.77),52,96.3,3.65 (3.24-4.06)
oligodendrocytes 16,313,0.111,6.0,291,2,0.69,7.70 (7.70-7.70),289,99.31,4.29 (4.07-4.52)
da neurons 6,398,0.202,68.0,138,1,0.72,4.39 (NA-NA),137,99.28,4.83 (4.46-5.20)
astrocytes microglia 23,166,0.456,96.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220,0.286,96.0,63,0,0.0,NA,63,100.0,5.13 (4.57-5.69)
oligodendrocytes 0,187,0.31,91.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,127,0.564,97.0,24,3,12.5,3.15 (1.93-4.37),21,87.5,5.55 (4.88-6.21)
oligodendrocytes 3,187,0.264,95.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,348,0.42,95.0,114,4,3.51,4.29 (1.90-6.67),110,96.49,5.16 (4.74-5.57)
