tipo_celular,module_size,AUTS2_MM,AUTS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.145,23.0,140,36,25.71,4.25 (3.68-4.82),104,74.29,4.66 (4.34-4.99)
T cells 18,349,0.22,62.0,68,26,38.24,4.96 (4.03-5.89),42,61.76,3.86 (3.25-4.48)
astrocytes 5,222,0.209,52.0,98,16,16.33,5.48 (3.94-7.02),82,83.67,4.45 (4.06-4.84)
oligodendrocyte progenitor cells 7,229,0.205,56.0,45,3,6.67,4.93 (4.67-5.19),42,93.33,5.01 (4.34-5.69)
GABA neurons expressing GLU receptors 22,823,0.24,83.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,637,0.151,47.0,91,18,19.78,2.75 (1.93-3.58),73,80.22,5.19 (4.64-5.74)
da like neurons 11,109,0.418,96.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.432,94.0,93,42,45.16,4.98 (4.26-5.70),51,54.84,5.32 (4.64-6.00)
endothelial cells 9,1653,0.227,95.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.389,66.0,110,47,42.73,4.83 (4.16-5.50),63,57.27,5.15 (4.56-5.75)
GABA like neurons 14,1300,0.238,64.0,306,68,22.22,4.57 (3.98-5.15),238,77.78,5.28 (5.00-5.57)
astrocytes 8,283,0.341,99.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,103,0.308,18.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41)
oligodendrocytes 10,204,0.31,22.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,111,0.161,1.0,10,1,10.0,NA,9,90.0,2.44 (1.89-3.00)
astrocytes 15,418,0.147,53.0,54,6,11.11,3.85 (3.45-4.24),48,88.89,3.66 (3.18-4.15)
oligodendrocytes 16,287,0.113,4.0,105,49,46.67,4.59 (3.90-5.27),56,53.33,5.66 (5.17-6.14)
da neurons 6,398,0.423,94.0,138,36,26.09,3.55 (3.02-4.08),102,73.91,5.39 (4.97-5.81)
astrocytes microglia 23,122,0.216,21.0,46,4,8.7,6.55 (5.31-7.79),42,91.3,4.88 (4.29-5.46)
astrocytes 4,255,0.119,9.0,12,1,8.33,5.72 (NA-NA),11,91.67,4.40 (3.48-5.32)
oligodendrocytes 0,479,0.339,99.0,40,18,45.0,6.13 (5.25-7.02),22,55.0,5.63 (5.05-6.21)
microglia 1,480,0.106,7.0,163,17,10.43,3.74 (3.14-4.34),146,89.57,3.70 (3.41-3.99)
oligodendrocytes 3,1003,0.314,100.0,111,2,1.8,2.71 (NA-NA),109,98.2,3.31 (2.96-3.65)
oligodendrocytes 2,348,0.48,98.0,114,47,41.23,5.52 (4.94-6.11),67,58.77,4.77 (4.21-5.33)
