tipo_celular,module_size,MRPL19_MM,MRPL19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.373,98.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,349,0.079,9.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,1656,0.118,53.0,136,5,3.68,1.72 (1.30-2.13),131,96.32,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,628,0.149,39.0,164,5,3.05,2.11 (1.71-2.52),159,96.95,4.17 (3.84-4.50)
GABA neurons expressing GLU receptors 22,567,0.183,47.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316,0.066,7.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,1220,0.116,22.0,410,18,4.39,2.44 (1.97-2.91),392,95.61,4.36 (4.18-4.55)
GABA neurons expressing GABA receptors 13,67,0.144,31.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,559,0.116,32.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,938,0.115,44.0,169,18,10.65,2.33 (1.82-2.85),151,89.35,3.65 (3.42-3.88)
GABA like neurons 14,2402,0.185,36.0,455,37,8.13,2.00 (1.63-2.38),418,91.87,4.64 (4.46-4.82)
astrocytes 8,771,0.075,28.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.056,15.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,735,0.107,57.0,277,2,0.72,3.49 (2.77-4.20),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,112,0.176,21.0,7,0,0.0,NA,7,100.0,1.95 (1.17-2.73)
astrocytes 15,1768,0.073,36.0,105,17,16.19,1.41 (1.11-1.72),88,83.81,3.59 (3.25-3.94)
oligodendrocytes 16,66,0.226,50.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.138,57.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,54,0.3,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.163,83.0,104,17,16.35,1.38 (1.04-1.72),87,83.65,3.18 (2.89-3.47)
oligodendrocytes 0,613,0.162,68.0,127,2,1.57,1.21 (0.81-1.61),125,98.43,3.10 (2.68-3.52)
microglia 1,1615,0.088,19.0,161,21,13.04,1.11 (0.82-1.41),140,86.96,3.68 (3.43-3.93)
oligodendrocytes 3,743,0.1,72.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57)
oligodendrocytes 2,528,0.179,37.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75)
