tipo_celular,module_size,MAGI3_MM,MAGI3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.139,35.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,610,0.138,38.0,98,7,7.14,1.98 (0.80-3.16),91,92.86,3.22 (2.90-3.54)
astrocytes 5,1141,0.15,76.0,166,4,2.41,1.49 (0.22-2.76),162,97.59,3.45 (3.20-3.70)
oligodendrocyte progenitor cells 7,666,0.206,75.0,127,11,8.66,2.67 (1.80-3.55),116,91.34,4.00 (3.65-4.35)
GABA neurons expressing GLU receptors 22,459,0.094,17.0,165,6,3.64,1.68 (0.99-2.37),159,96.36,5.25 (4.92-5.58)
GLU like neurons 17,1316,0.12,47.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,200,0.415,99.0,8,1,12.5,NA,7,87.5,NA
GABA neurons expressing GABA receptors 13,266,0.159,52.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,412,0.223,68.0,141,3,2.13,0.90 (0.75-1.04),138,97.87,3.01 (2.77-3.25)
oligodendrocytes 20,322,0.045,11.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300,0.19,42.0,306,17,5.56,2.55 (1.86-3.24),289,94.44,5.32 (5.06-5.58)
astrocytes 8,577,0.074,40.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303,0.115,86.0,276,7,2.54,2.11 (1.07-3.16),269,97.46,3.59 (3.37-3.81)
oligodendrocytes 10,806,0.067,13.0,261,2,0.77,2.78 (-0.14-5.69),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,106,0.333,80.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06)
astrocytes 15,1768,0.122,80.0,105,5,4.76,1.58 (0.58-2.58),100,95.24,3.30 (2.96-3.64)
oligodendrocytes 16,91,0.176,23.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,228,0.11,63.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,91,0.246,43.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,752,0.165,67.0,96,2,2.08,3.92 (3.64-4.20),94,97.92,3.27 (2.94-3.61)
oligodendrocytes 0,2078,0.08,4.0,238,3,1.26,1.80 (0.23-3.37),235,98.74,3.66 (3.44-3.88)
microglia 1,1615,0.048,0.0,161,10,6.21,2.07 (1.13-3.00),151,93.79,3.37 (3.10-3.65)
oligodendrocytes 3,94,0.116,61.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,347,0.172,38.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
